"Subject","Trial","Block","Shape","Label","Matching","ACC","RT_ms","Resp","Cresp","bed","Condition"
10,114,29,"Dreieck.png","Ich","Matching",1,545,"d","d","L1m","Ass1"
10,115,29,"Kreis.png","Ich","Nonmatching",1,526,"k","k","L1n","Ass1"
10,116,29,"Kreis.png","Fremder","Matching",1,730,"d","d","L2m","Ass1"
10,117,30,"Dreieck.png","Ich","Matching",1,416,"d","d","L1m","Ass1"
10,118,30,"Kreis.png","Fremder","Matching",1,731,"d","d","L2m","Ass1"
10,119,30,"Kreis.png","Ich","Nonmatching",1,801,"k","k","L1n","Ass1"
10,120,30,"Dreieck.png","Fremder","Nonmatching",1,700,"k","k","L2n","Ass1"
10,121,31,"Kreis.png","Ich","Nonmatching",1,509,"k","k","L1n","Ass1"
10,122,31,"Dreieck.png","Fremder","Nonmatching",1,498,"k","k","L2n","Ass1"
10,123,31,"Kreis.png","Fremder","Matching",1,756,"d","d","L2m","Ass1"
10,124,31,"Dreieck.png","Ich","Matching",1,424,"d","d","L1m","Ass1"
10,125,32,"Dreieck.png","Ich","Matching",1,542,"d","d","L1m","Ass1"
10,126,32,"Kreis.png","Ich","Nonmatching",1,526,"k","k","L1n","Ass1"
10,127,32,"Dreieck.png","Fremder","Nonmatching",1,1872,"k","k","L2n","Ass1"
10,128,32,"Kreis.png","Fremder","Matching",1,627,"d","d","L2m","Ass1"
11,1,1,"Dreieck.png","Ich","Nonmatching",1,349,"k","k","L2n","Ass2"
11,2,1,"Dreieck.png","Fremder","Matching",0,312,"k","d","L1m","Ass2"
11,3,1,"Kreis.png","Fremder","Nonmatching",1,427,"k","k","L1n","Ass2"
11,4,1,"Kreis.png","Ich","Matching",1,429,"d","d","L2m","Ass2"
11,5,2,"Kreis.png","Ich","Matching",1,654,"d","d","L2m","Ass2"
11,6,2,"Dreieck.png","Ich","Nonmatching",0,513,"d","k","L2n","Ass2"
11,7,2,"Dreieck.png","Fremder","Matching",0,475,"k","d","L1m","Ass2"
11,8,2,"Kreis.png","Fremder","Nonmatching",0,813,"d","k","L1n","Ass2"
11,9,3,"Dreieck.png","Ich","Nonmatching",0,625,"d","k","L2n","Ass2"
11,10,3,"Kreis.png","Fremder","Nonmatching",1,531,"k","k","L1n","Ass2"
11,11,3,"Kreis.png","Ich","Matching",1,811,"d","d","L2m","Ass2"
11,12,3,"Dreieck.png","Fremder","Matching",1,701,"d","d","L1m","Ass2"
11,13,4,"Kreis.png","Fremder","Nonmatching",1,783,"k","k","L1n","Ass2"
11,14,4,"Dreieck.png","Fremder","Matching",0,763,"k","d","L1m","Ass2"
11,15,4,"Dreieck.png","Ich","Nonmatching",1,790,"k","k","L2n","Ass2"
11,16,4,"Kreis.png","Ich","Matching",1,679,"d","d","L2m","Ass2"
11,17,5,"Dreieck.png","Fremder","Matching",0,644,"k","d","L1m","Ass2"
11,18,5,"Kreis.png","Fremder","Nonmatching",1,959,"k","k","L1n","Ass2"
11,19,5,"Kreis.png","Ich","Matching",1,708,"d","d","L2m","Ass2"
11,20,5,"Dreieck.png","Ich","Nonmatching",1,987,"k","k","L2n","Ass2"
11,21,6,"Dreieck.png","Ich","Nonmatching",1,919,"k","k","L2n","Ass2"
11,22,6,"Dreieck.png","Fremder","Matching",1,1001,"d","d","L1m","Ass2"
11,23,6,"Kreis.png","Ich","Matching",1,760,"d","d","L2m","Ass2"
11,24,6,"Kreis.png","Fremder","Nonmatching",1,890,"k","k","L1n","Ass2"
11,25,7,"Kreis.png","Ich","Matching",1,946,"d","d","L2m","Ass2"
11,26,7,"Kreis.png","Fremder","Nonmatching",1,819,"k","k","L1n","Ass2"
11,27,7,"Dreieck.png","Ich","Nonmatching",1,1254,"k","k","L2n","Ass2"
11,28,7,"Dreieck.png","Fremder","Matching",1,794,"d","d","L1m","Ass2"
11,29,8,"Kreis.png","Ich","Matching",1,490,"d","d","L2m","Ass2"
11,30,8,"Dreieck.png","Ich","Nonmatching",1,712,"k","k","L2n","Ass2"
11,31,8,"Kreis.png","Fremder","Nonmatching",1,936,"k","k","L1n","Ass2"
11,32,8,"Dreieck.png","Fremder","Matching",1,1051,"d","d","L1m","Ass2"
11,33,9,"Dreieck.png","Fremder","Matching",0,1018,"k","d","L1m","Ass2"
11,34,9,"Dreieck.png","Ich","Nonmatching",1,1165,"k","k","L2n","Ass2"
11,35,9,"Kreis.png","Ich","Matching",1,588,"d","d","L2m","Ass2"
11,36,9,"Kreis.png","Fremder","Nonmatching",1,1433,"k","k","L1n","Ass2"
11,37,10,"Dreieck.png","Ich","Nonmatching",1,875,"k","k","L2n","Ass2"
11,38,10,"Kreis.png","Fremder","Nonmatching",1,1179,"k","k","L1n","Ass2"
11,39,10,"Dreieck.png","Fremder","Matching",1,1773,"d","d","L1m","Ass2"
11,40,10,"Kreis.png","Ich","Matching",1,692,"d","d","L2m","Ass2"
11,41,11,"Kreis.png","Ich","Matching",1,564,"d","d","L2m","Ass2"
11,42,11,"Dreieck.png","Fremder","Matching",1,1268,"d","d","L1m","Ass2"
11,43,11,"Dreieck.png","Ich","Nonmatching",1,833,"k","k","L2n","Ass2"
11,44,11,"Kreis.png","Fremder","Nonmatching",1,1530,"k","k","L1n","Ass2"
11,45,12,"Kreis.png","Ich","Matching",1,702,"d","d","L2m","Ass2"
11,46,12,"Kreis.png","Fremder","Nonmatching",1,874,"k","k","L1n","Ass2"
11,47,12,"Dreieck.png","Fremder","Matching",1,1312,"d","d","L1m","Ass2"
11,48,12,"Dreieck.png","Ich","Nonmatching",1,864,"k","k","L2n","Ass2"
11,49,13,"Kreis.png","Ich","Matching",1,1459,"d","d","L2m","Ass2"
11,50,13,"Kreis.png","Fremder","Nonmatching",1,1090,"k","k","L1n","Ass2"
11,51,13,"Dreieck.png","Fremder","Matching",1,818,"d","d","L1m","Ass2"
11,52,13,"Dreieck.png","Ich","Nonmatching",1,925,"k","k","L2n","Ass2"
11,53,14,"Kreis.png","Fremder","Nonmatching",1,984,"k","k","L1n","Ass2"
11,54,14,"Kreis.png","Ich","Matching",1,906,"d","d","L2m","Ass2"
11,55,14,"Dreieck.png","Ich","Nonmatching",1,700,"k","k","L2n","Ass2"
11,56,14,"Dreieck.png","Fremder","Matching",1,1290,"d","d","L1m","Ass2"
11,57,15,"Dreieck.png","Fremder","Matching",1,1094,"d","d","L1m","Ass2"
11,58,15,"Kreis.png","Ich","Matching",1,741,"d","d","L2m","Ass2"
11,59,15,"Dreieck.png","Ich","Nonmatching",1,779,"k","k","L2n","Ass2"
11,60,15,"Kreis.png","Fremder","Nonmatching",1,1480,"k","k","L1n","Ass2"
