"Subject","Task","Phase","Block","Trial","Practice","Matching","Shape","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","Label","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","CorrResponse","Response","RT_ms","RT_sec","ACC"
3,"self-matching","Breaking",2,25,0,"Nonmatching","T.bmp","Friend","Friend","Close","Stranger","Stranger","Stranger","Stranger","m","m",443,0.443,1
3,"self-matching","Breaking",2,26,0,"Nonmatching","S.bmp","Self","Self","Self","Friend","Friend","Friend","Close","m","m",673,0.673,1
3,"self-matching","Breaking",2,27,0,"Matching","T.bmp","Friend","Friend","Close","Self","Self","Self","Self","n","n",455,0.455,1
3,"self-matching","Breaking",2,28,0,"Matching","S.bmp","Self","Self","Self","Stranger","Stranger","Stranger","Stranger","n","n",877,0.877,1
3,"self-matching","Breaking",2,29,0,"Matching","C.bmp","Stranger","Stranger","Stranger","Friend","Friend","Friend","Close","n","n",755,0.755,1
3,"self-matching","Breaking",2,30,0,"Nonmatching","S.bmp","Self","Self","Self","Friend","Friend","Friend","Close","m","m",585,0.585,1
3,"self-matching","Breaking",2,31,0,"Matching","T.bmp","Friend","Friend","Close","Self","Self","Self","Self","n","n",767,0.767,1
3,"self-matching","Breaking",2,32,0,"Nonmatching","T.bmp","Friend","Friend","Close","Stranger","Stranger","Stranger","Stranger","m","m",431,0.431,1
3,"self-matching","Breaking",2,33,0,"Matching","S.bmp","Self","Self","Self","Stranger","Stranger","Stranger","Stranger","n","m",933,0.933,0
3,"self-matching","Breaking",2,34,0,"Matching","S.bmp","Self","Self","Self","Stranger","Stranger","Stranger","Stranger","n",NA,NA,NA,NA
3,"self-matching","Breaking",2,35,0,"Nonmatching","S.bmp","Self","Self","Self","Self","Self","Self","Self","m","m",627,0.627,1
3,"self-matching","Breaking",2,36,0,"Nonmatching","S.bmp","Self","Self","Self","Self","Self","Self","Self","m","m",705,0.705,1
3,"self-matching","Breaking",2,37,0,"Nonmatching","S.bmp","Self","Self","Self","Self","Self","Self","Self","m","m",711,0.711,1
3,"self-matching","Breaking",2,38,0,"Nonmatching","T.bmp","Friend","Friend","Close","Friend","Friend","Friend","Close","m","m",749,0.749,1
3,"self-matching","Breaking",2,39,0,"Nonmatching","C.bmp","Stranger","Stranger","Stranger","Self","Self","Self","Self","m","m",531,0.531,1
3,"self-matching","Breaking",2,40,0,"Nonmatching","C.bmp","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","m","m",881,0.881,1
3,"self-matching","Breaking",2,41,0,"Matching","C.bmp","Stranger","Stranger","Stranger","Friend","Friend","Friend","Close","n","n",503,0.503,1
3,"self-matching","Breaking",2,42,0,"Nonmatching","C.bmp","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","m","m",925,0.925,1
3,"self-matching","Breaking",2,43,0,"Nonmatching","C.bmp","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","m","m",723,0.723,1
3,"self-matching","Breaking",2,44,0,"Nonmatching","S.bmp","Self","Self","Self","Friend","Friend","Friend","Close","m",NA,NA,NA,NA
3,"self-matching","Breaking",2,45,0,"Nonmatching","T.bmp","Friend","Friend","Close","Friend","Friend","Friend","Close","m","m",503,0.503,1
3,"self-matching","Breaking",2,46,0,"Nonmatching","T.bmp","Friend","Friend","Close","Stranger","Stranger","Stranger","Stranger","m","m",509,0.509,1
3,"self-matching","Breaking",2,47,0,"Nonmatching","T.bmp","Friend","Friend","Close","Friend","Friend","Friend","Close","m","m",723,0.723,1
