"Subject","Block","Shape","Label","Task","Matching","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","Response","RT_ms","RT_sec","ACC"
"2","2","rhomboid","lbl_you","self-matching","Matching","label_you","Self","Self","you","Self","Self","m","721","0.721","1"
"2","2","octagon","lbl_happy","self-matching","Matching","label_happy","Happy","NonPerson","happy","NonPerson","NonPerson","m","599","0.599","1"
"2","2","triangle","lbl_friend","self-matching","Matching","label_friend","Friend","Close","friend","Friend","Close","m","653","0.653","1"
"2","2","triangle","lbl_you","self-matching","Nonmatching","label_you","Self","Self","friend","Friend","Close","n","789","0.789","1"
"2","2","rhomboid","lbl_friend","self-matching","Nonmatching","label_friend","Friend","Close","you","Self","Self","n","779","0.779","1"
"2","3","diamond","lbl_neutral","self-matching","Matching","label_neutral","Neutral","NonPerson","neutral","NonPerson","NonPerson","n","924","0.924","0"
"2","3","octagon","lbl_neutral","self-matching","Nonmatching","label_neutral","Neutral","NonPerson","happy","NonPerson","NonPerson","n","592","0.592","1"
"2","3","rhomboid","lbl_friend","self-matching","Nonmatching","label_friend","Friend","Close","you","Self","Self","n","581","0.581","1"
"2","3","rhomboid","lbl_you","self-matching","Matching","label_you","Self","Self","you","Self","Self","m","566","0.566","1"
"2","3","octagon","lbl_neutral","self-matching","Nonmatching","label_neutral","Neutral","NonPerson","happy","NonPerson","NonPerson","n","787","0.787","1"
"2","3","triangle","lbl_friend","self-matching","Matching","label_friend","Friend","Close","friend","Friend","Close","n","900","0.9","0"
"2","3","triangle","lbl_you","self-matching","Nonmatching","label_you","Self","Self","friend","Friend","Close","m","777","0.777","0"
"2","3","rhomboid","lbl_friend","self-matching","Nonmatching","label_friend","Friend","Close","you","Self","Self","n","632","0.632","1"
"2","3","triangle","lbl_friend","self-matching","Matching","label_friend","Friend","Close","friend","Friend","Close","m","712","0.712","1"
"2","3","octagon","lbl_happy","self-matching","Matching","label_happy","Happy","NonPerson","happy","NonPerson","NonPerson","m","620","0.62","1"
"2","3","octagon","lbl_happy","self-matching","Matching","label_happy","Happy","NonPerson","happy","NonPerson","NonPerson","m","647","0.647","1"
"2","3","diamond","lbl_happy","self-matching","Nonmatching","label_happy","Happy","NonPerson","neutral","NonPerson","NonPerson","n","685","0.685","1"
"2","3","triangle","lbl_you","self-matching","Nonmatching","label_you","Self","Self","friend","Friend","Close","n","738","0.738","1"
"2","3","diamond","lbl_happy","self-matching","Nonmatching","label_happy","Happy","NonPerson","neutral","NonPerson","NonPerson","n","708","0.708","1"
"2","3","rhomboid","lbl_you","self-matching","Matching","label_you","Self","Self","you","Self","Self","m","579","0.579","1"
"2","3","diamond","lbl_neutral","self-matching","Matching","label_neutral","Neutral","NonPerson","neutral","NonPerson","NonPerson","m","923","0.923","1"
"2","1","trapeze","lbl_friend","self-matching","Matching","label_friend","Friend","Close","friend","Friend","Close","c","745","0.745","1"
"2","1","trapeze","lbl_you","self-matching","Nonmatching","label_you","Self","Self","friend","Friend","Close","x","662","0.662","1"
"2","1","kite","lbl_happy","self-matching","Nonmatching","label_happy","Happy","NonPerson","neutral","NonPerson","NonPerson","x","833","0.833","1"
"2","1","kite","lbl_neutral","self-matching","Matching","label_neutral","Neutral","NonPerson","neutral","NonPerson","NonPerson","c","794","0.794","1"
"2","1","kite","lbl_neutral","self-matching","Matching","label_neutral","Neutral","NonPerson","neutral","NonPerson","NonPerson","x","609","0.609","0"
"2","1","pentagon","lbl_neutral","self-matching","Nonmatching","label_neutral","Neutral","NonPerson","happy","NonPerson","NonPerson","x","877","0.877","1"
"2","1","pentagon","lbl_happy","self-matching","Matching","label_happy","Happy","NonPerson","happy","NonPerson","NonPerson","c","784","0.784","1"
"2","1","square","lbl_friend","self-matching","Nonmatching","label_friend","Friend","Close","you","Self","Self","x","704","0.704","1"
"2","1","square","lbl_friend","self-matching","Nonmatching","label_friend","Friend","Close","you","Self","Self","x","541","0.541","1"
"2","1","pentagon","lbl_neutral","self-matching","Nonmatching","label_neutral","Neutral","NonPerson","happy","NonPerson","NonPerson","x","815","0.815","1"
"2","1","trapeze","lbl_friend","self-matching","Matching","label_friend","Friend","Close","friend","Friend","Close","x","651","0.651","0"
"2","1","square","lbl_you","self-matching","Matching","label_you","Self","Self","you","Self","Self","c","713","0.713","1"
"2","1","kite","lbl_happy","self-matching","Nonmatching","label_happy","Happy","NonPerson","neutral","NonPerson","NonPerson","x","909","0.909","1"
"2","1","pentagon","lbl_happy","self-matching","Matching","label_happy","Happy","NonPerson","happy","NonPerson","NonPerson","c","573","0.573","1"
"2","1","square","lbl_you","self-matching","Matching","label_you","Self","Self","you","Self","Self","c","922","0.922","1"
"2","1","trapeze","lbl_you","self-matching","Nonmatching","label_you","Self","Self","friend","Friend","Close","x","666","0.666","1"
"2","2","trapeze","lbl_you","self-matching","Nonmatching","label_you","Self","Self","friend","Friend","Close","x","1143","1.143","1"
"2","2","kite","lbl_neutral","self-matching","Matching","label_neutral","Neutral","NonPerson","neutral","NonPerson","NonPerson","c","836","0.836","1"
"2","2","square","lbl_friend","self-matching","Nonmatching","label_friend","Friend","Close","you","Self","Self","x","659","0.659","1"
"2","2","square","lbl_friend","self-matching","Nonmatching","label_friend","Friend","Close","you","Self","Self","x","827","0.827","1"
"2","2","pentagon","lbl_neutral","self-matching","Nonmatching","label_neutral","Neutral","NonPerson","happy","NonPerson","NonPerson","x","891","0.891","1"
"2","2","pentagon","lbl_happy","self-matching","Matching","label_happy","Happy","NonPerson","happy","NonPerson","NonPerson","c","579","0.579","1"
"2","2","trapeze","lbl_you","self-matching","Nonmatching","label_you","Self","Self","friend","Friend","Close","x","825","0.825","1"
"2","2","pentagon","lbl_happy","self-matching","Matching","label_happy","Happy","NonPerson","happy","NonPerson","NonPerson","c","790","0.79","1"
"2","2","trapeze","lbl_friend","self-matching","Matching","label_friend","Friend","Close","friend","Friend","Close","c","589","0.589","1"
"2","2","kite","lbl_neutral","self-matching","Matching","label_neutral","Neutral","NonPerson","neutral","NonPerson","NonPerson","c","767","0.767","1"
"2","2","trapeze","lbl_friend","self-matching","Matching","label_friend","Friend","Close","friend","Friend","Close","c","645","0.645","1"
"2","2","square","lbl_you","self-matching","Matching","label_you","Self","Self","you","Self","Self","c","717","0.717","1"
"2","2","square","lbl_you","self-matching","Matching","label_you","Self","Self","you","Self","Self","c","842","0.842","1"
"2","2","pentagon","lbl_neutral","self-matching","Nonmatching","label_neutral","Neutral","NonPerson","happy","NonPerson","NonPerson","x","970","0.97","1"
"2","2","kite","lbl_happy","self-matching","Nonmatching","label_happy","Happy","NonPerson","neutral","NonPerson","NonPerson","x","932","0.932","1"
"2","2","kite","lbl_happy","self-matching","Nonmatching","label_happy","Happy","NonPerson","neutral","NonPerson","NonPerson","x","759","0.759","1"
"2","3","trapeze","lbl_friend","self-matching","Matching","label_friend","Friend","Close","friend","Friend","Close","c","629","0.629","1"
"2","3","square","lbl_you","self-matching","Matching","label_you","Self","Self","you","Self","Self","c","559","0.559","1"
"2","3","trapeze","lbl_you","self-matching","Nonmatching","label_you","Self","Self","friend","Friend","Close","x","1067","1.067","1"
"2","3","kite","lbl_happy","self-matching","Nonmatching","label_happy","Happy","NonPerson","neutral","NonPerson","NonPerson","x","770","0.77","1"
"2","3","pentagon","lbl_happy","self-matching","Matching","label_happy","Happy","NonPerson","happy","NonPerson","NonPerson","c","632","0.632","1"
"2","3","kite","lbl_happy","self-matching","Nonmatching","label_happy","Happy","NonPerson","neutral","NonPerson","NonPerson","x","744","0.744","1"
"2","3","kite","lbl_neutral","self-matching","Matching","label_neutral","Neutral","NonPerson","neutral","NonPerson","NonPerson","c","580","0.58","1"
"2","3","trapeze","lbl_you","self-matching","Nonmatching","label_you","Self","Self","friend","Friend","Close","x","668","0.668","1"
"2","3","trapeze","lbl_friend","self-matching","Matching","label_friend","Friend","Close","friend","Friend","Close","c","582","0.582","1"
"2","3","pentagon","lbl_neutral","self-matching","Nonmatching","label_neutral","Neutral","NonPerson","happy","NonPerson","NonPerson","x","970","0.97","1"
"2","3","kite","lbl_neutral","self-matching","Matching","label_neutral","Neutral","NonPerson","neutral","NonPerson","NonPerson","c","746","0.746","1"
"2","3","square","lbl_friend","self-matching","Nonmatching","label_friend","Friend","Close","you","Self","Self","x","833","0.833","1"
"2","3","pentagon","lbl_happy","self-matching","Matching","label_happy","Happy","NonPerson","happy","NonPerson","NonPerson","c","1156","1.156","1"
"2","3","pentagon","lbl_neutral","self-matching","Nonmatching","label_neutral","Neutral","NonPerson","happy","NonPerson","NonPerson","x","729","0.729","1"
"2","3","square","lbl_friend","self-matching","Nonmatching","label_friend","Friend","Close","you","Self","Self","x","689","0.689","1"
"2","3","square","lbl_you","self-matching","Matching","label_you","Self","Self","you","Self","Self","c","669","0.669","1"
"3","1","square","lbl_neutral","self-matching","Nonmatching","label_neutral","Neutral","NonPerson","happy","NonPerson","NonPerson","c","676","0.676","0"
"3","1","trapeze","lbl_happy","self-matching","Nonmatching","label_happy","Happy","NonPerson","neutral","NonPerson","NonPerson","x","839","0.839","1"
"3","1","trapeze","lbl_neutral","self-matching","Matching","label_neutral","Neutral","NonPerson","neutral","NonPerson","NonPerson","c","839","0.839","1"
"3","1","kite","lbl_friend","self-matching","Matching","label_friend","Friend","Close","friend","Friend","Close","c","859","0.859","1"
"3","1","kite","lbl_you","self-matching","Nonmatching","label_you","Self","Self","friend","Friend","Close","x","769","0.769","1"
"3","1","trapeze","lbl_neutral","self-matching","Matching","label_neutral","Neutral","NonPerson","neutral","NonPerson","NonPerson","c","927","0.927","1"
"3","1","square","lbl_happy","self-matching","Matching","label_happy","Happy","NonPerson","happy","NonPerson","NonPerson","c","878","0.878","1"
"3","1","pentagon","lbl_you","self-matching","Matching","label_you","Self","Self","you","Self","Self","c","868","0.868","1"
"3","1","square","lbl_happy","self-matching","Matching","label_happy","Happy","NonPerson","happy","NonPerson","NonPerson","x","643","0.643","0"
"3","1","square","lbl_neutral","self-matching","Nonmatching","label_neutral","Neutral","NonPerson","happy","NonPerson","NonPerson","c","624","0.624","0"
"3","1","pentagon","lbl_friend","self-matching","Nonmatching","label_friend","Friend","Close","you","Self","Self","x","766","0.766","1"
"3","1","pentagon","lbl_friend","self-matching","Nonmatching","label_friend","Friend","Close","you","Self","Self","x","890","0.89","1"
"3","1","trapeze","lbl_happy","self-matching","Nonmatching","label_happy","Happy","NonPerson","neutral","NonPerson","NonPerson","x","748","0.748","1"
"3","1","kite","lbl_you","self-matching","Nonmatching","label_you","Self","Self","friend","Friend","Close","x","757","0.757","1"
"3","1","kite","lbl_friend","self-matching","Matching","label_friend","Friend","Close","friend","Friend","Close","x","594","0.594","0"
"3","1","pentagon","lbl_you","self-matching","Matching","label_you","Self","Self","you","Self","Self","c","638","0.638","1"
"3","2","trapeze","lbl_happy","self-matching","Nonmatching","label_happy","Happy","NonPerson","neutral","NonPerson","NonPerson","x","654","0.654","1"
"3","2","pentagon","lbl_you","self-matching","Matching","label_you","Self","Self","you","Self","Self","c","621","0.621","1"
"3","2","square","lbl_happy","self-matching","Matching","label_happy","Happy","NonPerson","happy","NonPerson","NonPerson","x","709","0.709","0"
"3","2","kite","lbl_you","self-matching","Nonmatching","label_you","Self","Self","friend","Friend","Close","x","644","0.644","1"
"3","2","kite","lbl_friend","self-matching","Matching","label_friend","Friend","Close","friend","Friend","Close","c","626","0.626","1"
"3","2","square","lbl_neutral","self-matching","Nonmatching","label_neutral","Neutral","NonPerson","happy","NonPerson","NonPerson","c","732","0.732","0"
