"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","image","word","target","valence","matchness","correct_response","correct","exp_condition"
"","","","","","psychophysics","52","162889","0.0-7.0-0.0-0.20","931","","j","","","","","","","","","","","","","key","j","16.685736000000034","640","356","./1_3_Stimuli/T_ambi40.png","自我","Image","自我","Match","j","true","Practice"
"","","","","","html-keyboard-response","53","163204","0.0-7.0-0.0-1.20","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","54","165254","0.0-7.0-0.0-0.21","895","","j","","","","","","","","","","","","","key","j","16.684467213114793","640","356","./1_3_Stimuli/S_ambi40.png","朋友","Word","朋友","Match","j","true","Practice"
"","","","","","html-keyboard-response","55","165560","0.0-7.0-0.0-1.21","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","56","167274","0.0-7.0-0.0-0.22","556","","f","","","","","","","","","","","","","key","f","16.686186274509893","640","356","./1_3_Stimuli/S_ambi40.png","他人","Word","朋友","Mismatch","f","true","Practice"
"","","","","","html-keyboard-response","57","167582","0.0-7.0-0.0-1.22","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","psychophysics","58","169642","0.0-7.0-0.0-0.23","904","","f","","","","","","","","","","","","","key","f","16.686943089430944","640","356","./1_3_Stimuli/C_ambi40.png","朋友","Word","他人","Mismatch","f","true","Practice"
"","","","","","html-keyboard-response","59","169942","0.0-7.0-0.0-1.23","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","","feedback"
"","","","","","html-keyboard-response","60","221764","0.0-8.0","51819","<style>.context{color:white; font-size: 35px; line-height:40px}</style>                          <div><p class='context'>您正确回答了100% 的试次。</p><p class='context'>您的平均反应时为735毫秒。</p><p class='context'>恭喜您完成练习。现在请休息3~5分钟。</p><p class='context'>之后，按任意键进入正式实验。需要注意的是，正式实验将不再提供反应是否正确的反馈。</p><p class='footer' style='font-size: 35px; line-height:40px;'>请在进入正式实验实验之前将您的<span style='color: lightgreen;'>食指</span>放在电脑键盘的相应键位上进行按键。</p>"," ","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","psychophysics","61","223547","0.0-9.0-0.0-0.0","629","","f","","","","","","","","","","","","","key","f","16.685571428571297","640","356","./1_3_Stimuli/S_ambi40.png","他人","Word","朋友","Mismatch","f","true","Formal"
"","","","","","psychophysics","62","225216","0.0-9.0-0.0-0.1","516","","j","","","","","","","","","","","","","key","j","16.685806122449005","640","356","./1_3_Stimuli/C_ambi40.png","他人","Word","他人","Match","j","true","Formal"
"","","","","","psychophysics","63","227015","0.0-9.0-0.0-0.2","647","","j","","","","","","","","","","","","","key","j","16.68426415094346","640","356","./1_3_Stimuli/T_ambi40.png","自我","Image","自我","Match","j","true","Formal"
"","","","","","psychophysics","64","229210","0.0-9.0-0.0-0.3","1040","","j","","","","","","","","","","","","","key","j","16.684676923076935","640","356","./1_3_Stimuli/C_ambi40.png","朋友","Word","他人","Mismatch","f","false","Formal"
"","","","","","psychophysics","65","231919","0.0-9.0-0.0-0.4","null","","null","","","","","","","","","","","","","key","null","16.684434782608626","640","356","./1_3_Stimuli/T_ambi40.png","朋友","Word","自我","Mismatch","f","false","Formal"
"","","","","","psychophysics","66","233555","0.0-9.0-0.0-0.5","480","","j","","","","","","","","","","","","","key","j","16.685453608247435","640","356","./1_3_Stimuli/T_ambi40.png","自我","Image","自我","Match","j","true","Formal"
"","","","","","psychophysics","67","235590","0.0-9.0-0.0-0.6","880","","f","","","","","","","","","","","","","key","f","16.68447500000014","640","356","./1_3_Stimuli/S_ambi40.png","自我","Image","朋友","Mismatch","f","true","Formal"
"","","","","","psychophysics","68","237646","0.0-9.0-0.0-0.7","900","","j","","","","","","","","","","","","","key","j","16.68389344262293","640","356","./1_3_Stimuli/S_ambi40.png","朋友","Word","朋友","Match","j","true","Formal"
"","","","","","psychophysics","69","239615","0.0-9.0-0.0-0.8","817","","f","","","","","","","","","","","","","key","f","16.686836206896636","640","356","./1_3_Stimuli/T_ambi40.png","朋友","Image","自我","Mismatch","f","true","Formal"
"","","","","","psychophysics","70","241304","0.0-9.0-0.0-0.9","537","","j","","","","","","","","","","","","","key","j","16.684949999999954","640","356","./1_3_Stimuli/C_ambi40.png","他人","Word","他人","Match","j","true","Formal"
"","","","","","psychophysics","71","244009","0.0-9.0-0.0-0.10","null","","null","","","","","","","","","","","","","key","null","16.684875776397423","640","356","./1_3_Stimuli/C_ambi40.png","朋友","Image","他人","Mismatch","f","false","Formal"
"","","","","","psychophysics","72","245864","0.0-9.0-0.0-0.11","703","","j","","","","","","","","","","","","","key","j","16.68580909090921","640","356","./1_3_Stimuli/C_ambi40.png","他人","Image","他人","Match","j","true","Formal"
"","","","","","psychophysics","73","247614","0.0-9.0-0.0-0.12","599","","j","","","","","","","","","","","","","key","j","16.68425961538462","640","356","./1_3_Stimuli/T_ambi40.png","自我","Word","自我","Match","j","true","Formal"
"","","","","","psychophysics","74","249545","0.0-9.0-0.0-0.13","769","","j","","","","","","","","","","","","","key","j","16.68473043478266","640","356","./1_3_Stimuli/S_ambi40.png","朋友","Word","朋友","Match","j","true","Formal"
"","","","","","psychophysics","75","251282","0.0-9.0-0.0-0.14","576","","j","","","","","","","","","","","","","key","j","16.685679611650485","640","356","./1_3_Stimuli/T_ambi40.png","自我","Word","自我","Match","j","true","Formal"
"","","","","","psychophysics","76","253086","0.0-9.0-0.0-0.15","648","","j","","","","","","","","","","","","","key","j","16.686411214953235","640","356","./1_3_Stimuli/C_ambi40.png","他人","Image","他人","Match","j","true","Formal"
"","","","","","psychophysics","77","255021","0.0-9.0-0.0-0.16","772","","f","","","","","","","","","","","","","key","f","16.68372173913041","640","356","./1_3_Stimuli/T_ambi40.png","他人","Image","自我","Mismatch","f","true","Formal"
"","","","","","psychophysics","78","257001","0.0-9.0-0.0-0.17","817","","j","","","","","","","","","","","","","key","j","16.686974358974517","640","356","./1_3_Stimuli/S_ambi40.png","朋友","Image","朋友","Match","j","true","Formal"
"","","","","","psychophysics","79","258985","0.0-9.0-0.0-0.18","832","","j","","","","","","","","","","","","","key","j","16.6848119658119","640","356","./1_3_Stimuli/S_ambi40.png","朋友","Image","朋友","Match","j","true","Formal"
"","","","","","psychophysics","80","260915","0.0-9.0-0.0-0.19","776","","f","","","","","","","","","","","","","key","f","16.686666666666657","640","356","./1_3_Stimuli/C_ambi40.png","自我","Word","他人","Mismatch","f","true","Formal"
"","","","","","psychophysics","81","262777","0.0-9.0-0.0-0.20","704","","f","","","","","","","","","","","","","key","f","16.68474774774786","640","356","./1_3_Stimuli/S_ambi40.png","他人","Image","朋友","Mismatch","f","true","Formal"
"","","","","","psychophysics","82","264548","0.0-9.0-0.0-0.21","619","","f","","","","","","","","","","","","","key","f","16.684580952380895","640","356","./1_3_Stimuli/S_ambi40.png","自我","Word","朋友","Mismatch","f","true","Formal"
"","","","","","psychophysics","83","266732","0.0-9.0-0.0-0.22","1029","","f","","","","","","","","","","","","","key","f","16.68509230769257","640","356","./1_3_Stimuli/C_ambi40.png","自我","Image","他人","Mismatch","f","true","Formal"
"","","","","","psychophysics","84","268467","0.0-9.0-0.0-0.23","570","","f","","","","","","","","","","","","","key","f","16.682563106796152","640","356","./1_3_Stimuli/T_ambi40.png","他人","Word","自我","Mismatch","f","true","Formal"
"","","","","","psychophysics","85","270251","0.0-9.0-0.0-0.24","629","","f","","","","","","","","","","","","","key","f","16.683641509434104","640","356","./1_3_Stimuli/T_ambi40.png","他人","Image","自我","Mismatch","f","true","Formal"
"","","","","","psychophysics","86","272156","0.0-9.0-0.0-0.25","743","","j","","","","","","","","","","","","","key","j","16.68353097345134","640","356","./1_3_Stimuli/S_ambi40.png","朋友","Word","朋友","Match","j","true","Formal"
"","","","","","psychophysics","87","274366","0.0-9.0-0.0-0.26","1051","","f","","","","","","","","","","","","","key","f","16.68419847328248","640","356","./1_3_Stimuli/C_ambi40.png","朋友","Word","他人","Mismatch","f","true","Formal"
"","","","","","psychophysics","88","276220","0.0-9.0-0.0-0.27","698","","j","","","","","","","","","","","","","key","j","16.683935779816505","640","356","./1_3_Stimuli/T_ambi40.png","自我","Image","自我","Match","j","true","Formal"
"","","","","","psychophysics","89","277920","0.0-9.0-0.0-0.28","546","","f","","","","","","","","","","","","","key","f","16.684070000000066","640","356","./1_3_Stimuli/T_ambi40.png","他人","Word","自我","Mismatch","f","true","Formal"
"","","","","","psychophysics","90","279964","0.0-9.0-0.0-0.29","892","","f","","","","","","","","","","","","","key","f","16.68589344262298","640","356","./1_3_Stimuli/T_ambi40.png","朋友","Image","自我","Mismatch","f","true","Formal"
"","","","","","psychophysics","91","281743","0.0-9.0-0.0-0.30","617","","j","","","","","","","","","","","","","key","j","16.68524761904763","640","356","./1_3_Stimuli/S_ambi40.png","朋友","Image","朋友","Match","j","true","Formal"
"","","","","","psychophysics","92","283894","0.0-9.0-0.0-0.31","998","","j","","","","","","","","","","","","","key","j","16.685708661417486","640","356","./1_3_Stimuli/T_ambi40.png","自我","Word","自我","Match","j","true","Formal"
"","","","","","psychophysics","93","285753","0.0-9.0-0.0-0.32","705","","j","","","","","","","","","","","","","key","j","16.687207207206935","640","356","./1_3_Stimuli/T_ambi40.png","自我","Image","自我","Match","j","true","Formal"
