"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","image","word","target","valence","matchness","correct_response","correct","exp_condition","question_order"
"","","","","","psychophysics","306","804771","0.0-9.0-0.1-0.143","523","","j","","","","","","","","","","","","","key","j","16.654000000000234","710.7407909492769","395.92595389514173","./1_3_Stimuli/T_ambi40.png","自我","Word","自我","Match","j","true","Formal",""
"","","","","","psychophysics","307","806461","0.0-9.0-0.1-0.144","531","","j","","","","","","","","","","","","","key","j","16.654000000000234","710.7407909492769","395.92595389514173","./1_3_Stimuli/T_ambi40.png","自我","Word","自我","Match","j","true","Formal",""
"","","","","","psychophysics","308","809075","0.0-9.0-0.1-0.145","1463","","j","","","","","","","","","","","","","key","j","16.654487179487777","710.7407909492769","395.92595389514173","./1_3_Stimuli/C_ambi40.png","朋友","Word","朋友","Match","j","true","Formal",""
"","","","","","psychophysics","309","810865","0.0-9.0-0.1-0.146","638","","j","","","","","","","","","","","","","key","j","16.653271028036514","710.7407909492769","395.92595389514173","./1_3_Stimuli/S_ambi40.png","他人","Image","他人","Match","j","true","Formal",""
"","","","","","psychophysics","310","812509","0.0-9.0-0.1-0.147","484","","j","","","","","","","","","","","","","key","j","16.653061224489797","710.7407909492769","395.92595389514173","./1_3_Stimuli/S_ambi40.png","他人","Word","他人","Match","j","true","Formal",""
"","","","","","psychophysics","311","814475","0.0-9.0-0.1-0.148","802","","f","","","","","","","","","","","","","key","f","16.651282051281655","710.7407909492769","395.92595389514173","./1_3_Stimuli/S_ambi40.png","朋友","Image","他人","Mismatch","f","true","Formal",""
"","","","","","psychophysics","312","816603","0.0-9.0-0.1-0.149","965","","j","","","","","","","","","","","","","key","j","16.652380952380582","710.7407909492769","395.92595389514173","./1_3_Stimuli/T_ambi40.png","自我","Image","自我","Match","j","true","Formal",""
"","","","","","psychophysics","313","818223","0.0-9.0-0.1-0.150","469","","j","","","","","","","","","","","","","key","j","16.65360824742292","710.7407909492769","395.92595389514173","./1_3_Stimuli/T_ambi40.png","自我","Image","自我","Match","j","true","Formal",""
"","","","","","psychophysics","314","819799","0.0-9.0-0.1-0.151","414","","j","","","","","","","","","","","","","key","j","16.65698924731158","710.7407909492769","395.92595389514173","./1_3_Stimuli/S_ambi40.png","自我","Word","他人","Mismatch","f","false","Formal",""
"","","","","","psychophysics","315","822516","0.0-9.0-0.1-0.152","null","","null","","","","","","","","","","","","","key","null","16.653086419753375","710.7407909492769","395.92595389514173","./1_3_Stimuli/C_ambi40.png","他人","Word","朋友","Mismatch","f","false","Formal",""
"","","","","","psychophysics","316","824452","0.0-9.0-0.1-0.153","771","","f","","","","","","","","","","","","","key","f","16.6504347826091","710.7407909492769","395.92595389514173","./1_3_Stimuli/C_ambi40.png","他人","Image","朋友","Mismatch","f","true","Formal",""
"","","","","","psychophysics","317","826417","0.0-9.0-0.1-0.154","804","","f","","","","","","","","","","","","","key","f","16.652991452991653","710.7407909492769","395.92595389514173","./1_3_Stimuli/S_ambi40.png","自我","Image","他人","Mismatch","f","true","Formal",""
"","","","","","psychophysics","318","829064","0.0-9.0-0.1-0.155","1486","","f","","","","","","","","","","","","","key","f","16.653164556962466","710.7407909492769","395.92595389514173","./1_3_Stimuli/C_ambi40.png","自我","Word","朋友","Mismatch","f","true","Formal",""
"","","","","","psychophysics","319","831012","0.0-9.0-0.1-0.156","785","","f","","","","","","","","","","","","","key","f","16.652586206897155","710.7407909492769","395.92595389514173","./1_3_Stimuli/T_ambi40.png","他人","Word","自我","Mismatch","f","true","Formal",""
"","","","","","psychophysics","320","832893","0.0-9.0-0.1-0.157","718","","f","","","","","","","","","","","","","key","f","16.653571428571013","710.7407909492769","395.92595389514173","./1_3_Stimuli/C_ambi40.png","自我","Image","朋友","Mismatch","f","true","Formal",""
"","","","","","psychophysics","321","834711","0.0-9.0-0.1-0.158","654","","f","","","","","","","","","","","","","key","f","16.65370370370349","710.7407909492769","395.92595389514173","./1_3_Stimuli/T_ambi40.png","自我","Word","自我","Match","j","false","Formal",""
"","","","","","psychophysics","322","837421","0.0-9.0-0.1-0.159","null","","null","","","","","","","","","","","","","key","null","16.652173913043477","710.7407909492769","395.92595389514173","./1_3_Stimuli/C_ambi40.png","朋友","Image","朋友","Match","j","false","Formal",""
"","","","","","psychophysics","323","839223","0.0-9.0-0.1-0.160","651","","j","","","","","","","","","","","","","key","j","16.651401869158445","710.7407909492769","395.92595389514173","./1_3_Stimuli/C_ambi40.png","朋友","Word","朋友","Match","j","true","Formal",""
"","","","","","psychophysics","324","841193","0.0-9.0-0.1-0.161","808","","j","","","","","","","","","","","","","key","j","16.65213675213715","710.7407909492769","395.92595389514173","./1_3_Stimuli/S_ambi40.png","他人","Image","他人","Match","j","true","Formal",""
"","","","","","psychophysics","325","843272","0.0-9.0-0.1-0.162","922","","f","","","","","","","","","","","","","key","f","16.654032258065268","710.7407909492769","395.92595389514173","./1_3_Stimuli/T_ambi40.png","朋友","Word","自我","Mismatch","f","true","Formal",""
"","","","","","psychophysics","326","845652","0.0-9.0-0.1-0.163","1220","","f","","","","","","","","","","","","","key","f","16.653521126760072","710.7407909492769","395.92595389514173","./1_3_Stimuli/T_ambi40.png","他人","Image","自我","Mismatch","f","true","Formal",""
"","","","","","psychophysics","327","847842","0.0-9.0-0.1-0.164","1029","","f","","","","","","","","","","","","","key","f","16.653076923076206","710.7407909492769","395.92595389514173","./1_3_Stimuli/T_ambi40.png","朋友","Image","自我","Mismatch","f","true","Formal",""
"","","","","","psychophysics","328","850257","0.0-9.0-0.1-0.165","1262","","j","","","","","","","","","","","","","key","j","16.65347222222206","710.7407909492769","395.92595389514173","./1_3_Stimuli/S_ambi40.png","他人","Word","他人","Match","j","true","Formal",""
"","","","","","psychophysics","329","852959","0.0-9.0-0.1-0.166","null","","null","","","","","","","","","","","","","key","null","16.653416149068757","710.7407909492769","395.92595389514173","./1_3_Stimuli/C_ambi40.png","朋友","Image","朋友","Match","j","false","Formal",""
"","","","","","psychophysics","330","854843","0.0-9.0-0.1-0.167","719","","f","","","","","","","","","","","","","key","f","16.653571428572054","710.7407909492769","395.92595389514173","./1_3_Stimuli/S_ambi40.png","朋友","Word","他人","Mismatch","f","true","Formal",""
"","","","","","psychophysics","331","856550","0.0-9.0-0.1-0.168","544","","j","","","","","","","","","","","","","key","j","16.652475247524983","710.7407909492769","395.92595389514173","./1_3_Stimuli/T_ambi40.png","自我","Image","自我","Match","j","true","Formal",""
"","","","","","psychophysics","332","859253","0.0-9.0-0.1-0.169","null","","null","","","","","","","","","","","","","key","null","16.653416149068757","710.7407909492769","395.92595389514173","./1_3_Stimuli/S_ambi40.png","他人","Word","他人","Match","j","false","Formal",""
"","","","","","psychophysics","333","861968","0.0-9.0-0.1-0.170","null","","null","","","","","","","","","","","","","key","null","16.6509316770182","710.7407909492769","395.92595389514173","./1_3_Stimuli/T_ambi40.png","朋友","Image","自我","Mismatch","f","false","Formal",""
"","","","","","psychophysics","334","864669","0.0-9.0-0.1-0.171","1551","","j","","","","","","","","","","","","","key","j","16.6515527950312","710.7407909492769","395.92595389514173","./1_3_Stimuli/C_ambi40.png","朋友","Word","朋友","Match","j","true","Formal",""
"","","","","","psychophysics","335","866595","0.0-9.0-0.1-0.172","764","","f","","","","","","","","","","","","","key","f","16.653508771929825","710.7407909492769","395.92595389514173","./1_3_Stimuli/C_ambi40.png","自我","Image","朋友","Mismatch","f","true","Formal",""
"","","","","","psychophysics","336","868460","0.0-9.0-0.1-0.173","714","","j","","","","","","","","","","","","","key","j","16.653153153153152","710.7407909492769","395.92595389514173","./1_3_Stimuli/T_ambi40.png","自我","Word","自我","Match","j","true","Formal",""
"","","","","","psychophysics","337","870671","0.0-9.0-0.1-0.174","1059","","f","","","","","","","","","","","","","key","f","16.653787878788233","710.7407909492769","395.92595389514173","./1_3_Stimuli/C_ambi40.png","朋友","Image","朋友","Match","j","false","Formal",""
"","","","","","psychophysics","338","872407","0.0-9.0-0.1-0.175","580","","j","","","","","","","","","","","","","key","j","16.65339805825288","710.7407909492769","395.92595389514173","./1_3_Stimuli/T_ambi40.png","自我","Image","自我","Match","j","true","Formal",""
"","","","","","psychophysics","339","874550","0.0-9.0-0.1-0.176","991","","j","","","","","","","","","","","","","key","j","16.653124999999818","710.7407909492769","395.92595389514173","./1_3_Stimuli/S_ambi40.png","他人","Image","他人","Match","j","true","Formal",""
"","","","","","psychophysics","340","876665","0.0-9.0-0.1-0.177","958","","f","","","","","","","","","","","","","key","f","16.653968253967516","710.7407909492769","395.92595389514173","./1_3_Stimuli/C_ambi40.png","他人","Word","朋友","Mismatch","f","true","Formal",""
"","","","","","psychophysics","341","878501","0.0-9.0-0.1-0.178","679","","j","","","","","","","","","","","","","key","j","16.653211009173884","710.7407909492769","395.92595389514173","./1_3_Stimuli/C_ambi40.png","朋友","Word","朋友","Match","j","true","Formal",""
"","","","","","psychophysics","342","880760","0.0-9.0-0.1-0.179","1106","","j","","","","","","","","","","","","","key","j","16.653333333332988","710.7407909492769","395.92595389514173","./1_3_Stimuli/T_ambi40.png","自我","Word","自我","Match","j","true","Formal",""
"","","","","","psychophysics","343","882693","0.0-9.0-0.1-0.180","775","","j","","","","","","","","","","","","","key","j","16.653043478260667","710.7407909492769","395.92595389514173","./1_3_Stimuli/S_ambi40.png","他人","Word","他人","Match","j","true","Formal",""
"","","","","","psychophysics","344","885170","0.0-9.0-0.1-0.181","1319","","f","","","","","","","","","","","","","key","f","16.653378378378065","710.7407909492769","395.92595389514173","./1_3_Stimuli/T_ambi40.png","他人","Word","自我","Mismatch","f","true","Formal",""
"","","","","","psychophysics","345","887483","0.0-9.0-0.1-0.182","1151","","f","","","","","","","","","","","","","key","f","16.65289855072447","710.7407909492769","395.92595389514173","./1_3_Stimuli/C_ambi40.png","他人","Image","朋友","Mismatch","f","true","Formal",""
"","","","","","psychophysics","346","889443","0.0-9.0-0.1-0.183","796","","f","","","","","","","","","","","","","key","f","16.65344827586247","710.7407909492769","395.92595389514173","./1_3_Stimuli/S_ambi40.png","朋友","Word","他人","Mismatch","f","true","Formal",""
"","","","","","psychophysics","347","891680","0.0-9.0-0.1-0.184","1085","","f","","","","","","","","","","","","","key","f","16.653731343283408","710.7407909492769","395.92595389514173","./1_3_Stimuli/S_ambi40.png","自我","Image","他人","Mismatch","f","true","Formal",""
"","","","","","psychophysics","348","893824","0.0-9.0-0.1-0.185","981","","f","","","","","","","","","","","","","key","f","16.65590551181139","710.7407909492769","395.92595389514173","./1_3_Stimuli/S_ambi40.png","朋友","Image","他人","Mismatch","f","true","Formal",""
"","","","","","psychophysics","349","896264","0.0-9.0-0.1-0.186","1289","","f","","","","","","","","","","","","","key","f","16.654109589041095","710.7407909492769","395.92595389514173","./1_3_Stimuli/C_ambi40.png","自我","Word","朋友","Mismatch","f","true","Formal",""
"","","","","","psychophysics","350","898971","0.0-9.0-0.1-0.187","null","","null","","","","","","","","","","","","","key","null","16.652795031055756","710.7407909492769","395.92595389514173","./1_3_Stimuli/S_ambi40.png","自我","Word","他人","Mismatch","f","false","Formal",""
"","","","","","psychophysics","351","901386","0.0-9.0-0.1-0.188","1264","","j","","","","","","","","","","","","","key","j","16.653146853147017","710.7407909492769","395.92595389514173","./1_3_Stimuli/S_ambi40.png","他人","Image","他人","Match","j","true","Formal",""
"","","","","","psychophysics","352","903766","0.0-9.0-0.1-0.189","1230","","f","","","","","","","","","","","","","key","f","16.652816901408123","710.7407909492769","395.92595389514173","./1_3_Stimuli/T_ambi40.png","朋友","Word","自我","Mismatch","f","true","Formal",""
"","","","","","psychophysics","353","905846","0.0-9.0-0.1-0.190","928","","j","","","","","","","","","","","","","key","j","16.653225806451612","710.7407909492769","395.92595389514173","./1_3_Stimuli/C_ambi40.png","朋友","Image","朋友","Match","j","true","Formal",""
"","","","","","psychophysics","354","907585","0.0-9.0-0.1-0.191","587","","f","","","","","","","","","","","","","key","f","16.653846153846153","710.7407909492769","395.92595389514173","./1_3_Stimuli/T_ambi40.png","他人","Image","自我","Mismatch","f","true","Formal",""
"","","","","","psychophysics","355","909599","0.0-9.0-0.1-0.192","852","","f","","","","","","","","","","","","","key","f","16.653333333333528","710.7407909492769","395.92595389514173","./1_3_Stimuli/T_ambi40.png","朋友","Image","自我","Mismatch","f","true","Formal",""
"","","","","","psychophysics","356","911631","0.0-9.0-0.1-0.193","868","","j","","","","","","","","","","","","","key","j","16.65371900826523","710.7407909492769","395.92595389514173","./1_3_Stimuli/C_ambi40.png","自我","Image","朋友","Mismatch","f","false","Formal",""
"","","","","","psychophysics","357","914160","0.0-9.0-0.1-0.194","1366","","f","","","","","","","","","","","","","key","f","16.654666666666355","710.7407909492769","395.92595389514173","./1_3_Stimuli/C_ambi40.png","朋友","Word","朋友","Match","j","false","Formal",""
"","","","","","psychophysics","358","915935","0.0-9.0-0.1-0.195","610","","j","","","","","","","","","","","","","key","j","16.650476190476635","710.7407909492769","395.92595389514173","./1_3_Stimuli/T_ambi40.png","自我","Image","自我","Match","j","true","Formal",""
"","","","","","psychophysics","359","917957","0.0-9.0-0.1-0.196","867","","f","","","","","","","","","","","","","key","f","16.654166666666665","710.7407909492769","395.92595389514173","./1_3_Stimuli/S_ambi40.png","自我","Image","他人","Mismatch","f","true","Formal",""
"","","","","","psychophysics","360","920671","0.0-9.0-0.1-0.197","null","","null","","","","","","","","","","","","","key","null","16.653416149068757","710.7407909492769","395.92595389514173","./1_3_Stimuli/S_ambi40.png","朋友","Word","他人","Mismatch","f","false","Formal",""
"","","","","","psychophysics","361","923385","0.0-9.0-0.1-0.198","null","","null","","","","","","","","","","","","","key","null","16.6515527950312","710.7407909492769","395.92595389514173","./1_3_Stimuli/C_ambi40.png","他人","Image","朋友","Mismatch","f","false","Formal",""
"","","","","","psychophysics","362","924558","0.0-9.0-0.1-0.199","7","","f","","","","","","","","","","","","","key","f","16.653623188405458","710.7407909492769","395.92595389514173","./1_3_Stimuli/T_ambi40.png","自我","Image","自我","Match","j","false","Formal",""
"","","","","","psychophysics","363","927095","0.0-9.0-0.1-0.200","1377","","j","","","","","","","","","","","","","key","j","16.653642384105652","710.7407909492769","395.92595389514173","./1_3_Stimuli/S_ambi40.png","他人","Word","他人","Match","j","true","Formal",""
"","","","","","psychophysics","364","928873","0.0-9.0-0.1-0.201","625","","j","","","","","","","","","","","","","key","j","16.652830188678806","710.7407909492769","395.92595389514173","./1_3_Stimuli/C_ambi40.png","朋友","Word","朋友","Match","j","true","Formal",""
