"Subject","Block","Trial","Shape","Label","Matching","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","Response","RT_ms","RT_sec","ACC"
180,6,89,"C.bmp","生人","Nonmatching","生人","Stranger","Stranger","你","Self","Self",1,782,0.782,1
180,6,90,"T.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",2,670,0.67,1
180,6,91,"C.bmp","你","Matching","你","Self","Self","你","Self","Self",2,694,0.694,1
180,6,92,"C.bmp","你","Matching","你","Self","Self","你","Self","Self",2,622,0.622,1
180,6,93,"C.bmp","生人","Nonmatching","生人","Stranger","Stranger","你","Self","Self",1,934,0.934,1
180,6,94,"T.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",2,598,0.598,1
180,6,95,"T.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",2,551,0.551,1
180,6,96,"T.bmp","你","Nonmatching","你","Self","Self","生人","Stranger","Stranger",1,943,0.943,1
180,NA,NA,"T.bmp","你","Nonmatching","你","Self","Self","生人","Stranger","Stranger",NA,0,0,0
180,NA,NA,"C.bmp","你","Matching","你","Self","Self","你","Self","Self",NA,0,0,0
180,NA,NA,"C.bmp","生人","Nonmatching","生人","Stranger","Stranger","你","Self","Self",NA,0,0,0
180,NA,NA,"T.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",NA,0,0,0
180,NA,NA,"C.bmp","生人","Nonmatching","生人","Stranger","Stranger","你","Self","Self",NA,0,0,0
180,NA,NA,"C.bmp","你","Matching","你","Self","Self","你","Self","Self",NA,0,0,0
180,NA,NA,"T.bmp","生人","Matching","生人","Stranger","Stranger","生人","Stranger","Stranger",NA,0,0,0
180,NA,NA,"T.bmp","你","Nonmatching","你","Self","Self","生人","Stranger","Stranger",2,1089,1.089,0
