"Subject","phase","condition","label","shape","correct","match","label_identity","shape_identity","group","key_resp.keys","key_resp.corr","key_resp.rt","key_resp_formal.keys","key_resp_formal.corr","key_resp_formal.rt","ID","age","sex","date","expName","psychopyVersion","frameRate"
"101","formal","2B","self","triangle.png","z",0,1,2,4,NA,NA,NA,"z",1,0.4504585,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","other","rectangle.png","m",1,3,3,4,NA,NA,NA,NA,0,NA,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","self","circle.png","m",1,1,1,4,NA,NA,NA,"m",1,0.2990269,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","other","rectangle.png","m",1,3,3,4,NA,NA,NA,"z",0,0.3468903,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","self","triangle.png","z",0,1,2,4,NA,NA,NA,"z",1,0.4874119,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","self","rectangle.png","z",0,1,3,4,NA,NA,NA,"m",0,0.5424325,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","self","rectangle.png","z",0,1,3,4,NA,NA,NA,"z",1,0.6679976,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","other","rectangle.png","m",1,3,3,4,NA,NA,NA,"m",1,0.5794599,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","other","circle.png","z",0,3,1,4,NA,NA,NA,"z",1,0.5362345,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","self","triangle.png","z",0,1,2,4,NA,NA,NA,"z",1,1.0370872,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","self","rectangle.png","z",0,1,3,4,NA,NA,NA,"z",1,0.7342399,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","self","triangle.png","z",0,1,2,4,NA,NA,NA,"z",1,0.7393921,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","other","rectangle.png","m",1,3,3,4,NA,NA,NA,"m",1,0.7215497,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","other","rectangle.png","m",1,3,3,4,NA,NA,NA,"z",0,0.3907598,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","other","triangle.png","z",0,3,2,4,NA,NA,NA,"z",1,0.4980709,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","self","circle.png","m",1,1,1,4,NA,NA,NA,"m",1,0.4415266,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","self","rectangle.png","z",0,1,3,4,NA,NA,NA,"z",1,0.4430712,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","self","circle.png","m",1,1,1,4,NA,NA,NA,"m",1,0.7081534,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","other","triangle.png","z",0,3,2,4,NA,NA,NA,"z",1,0.9383254,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","friend","circle.png","z",0,2,1,4,NA,NA,NA,"z",1,0.6159139,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","friend","triangle.png","m",1,2,2,4,NA,NA,NA,"m",1,0.7305012,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","friend","rectangle.png","z",0,2,3,4,NA,NA,NA,"z",1,0.6883576,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","self","circle.png","m",1,1,1,4,NA,NA,NA,"m",1,1.0321838,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","other","rectangle.png","m",1,3,3,4,NA,NA,NA,"z",0,0.4662174,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","self","circle.png","m",1,1,1,4,NA,NA,NA,"m",1,0.4748538,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","other","circle.png","z",0,3,1,4,NA,NA,NA,"z",1,0.8661562,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","other","rectangle.png","m",1,3,3,4,NA,NA,NA,"m",1,0.6510747,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","friend","circle.png","z",0,2,1,4,NA,NA,NA,"z",1,0.6827347,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","other","rectangle.png","m",1,3,3,4,NA,NA,NA,NA,0,NA,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","self","rectangle.png","z",0,1,3,4,NA,NA,NA,"z",1,0.3785458,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
"101","formal","2B","friend","circle.png","z",0,2,1,4,NA,NA,NA,"z",1,0.5502207,101,21,"1","2023-04-05_10h42.42.763","SLM","2022.2.4",59.99300482
