Subject,Session,Age,Handedness,Sex,BlockList.Sample,PracList.Sample,SubTrial,Label,Target,Shape,morality,identity,YesNoResp,CorrectAnswer,Targetprac.RESP,Targetprac.ACC,Targetprac.RT,Target.RESP,Target.ACC,Target.RT,,
6201,1,21,right,male,,1,166,NormalSelf.bmp,Tra.bmp,Normalself,normal,self,Yes,m,m,1,883,,,,,
6201,1,21,right,male,,1,167,BadSelf.bmp,D.bmp,Badself,immoral,self,Yes,m,m,1,895,,,,,
6201,1,21,right,male,,1,168,GoodOther.bmp,T.bmp,Badother,moral,other,No,k,k,1,819,,,,,
6201,1,21,right,male,,1,169,BadOther.bmp,T.bmp,Badother,immoral,other,Yes,m,m,1,999,,,,,
6201,1,21,right,male,,1,170,NormalSelf.bmp,Tra.bmp,Normalself,normal,self,Yes,m,m,1,675,,,,,
6201,1,21,right,male,,1,171,NormalOther.bmp,T.bmp,Badother,normal,other,No,k,k,1,808,,,,,
6201,1,21,right,male,,1,172,BadOther.bmp,T.bmp,Badother,immoral,other,Yes,m,,0,0,,,,,
6201,1,21,right,male,,1,173,BadOther.bmp,T.bmp,Badother,immoral,other,Yes,m,m,1,710,,,,,
6201,1,21,right,male,,1,174,BadSelf.bmp,S.bmp,Normalother,immoral,self,No,k,k,1,627,,,,,
6201,1,21,right,male,,1,175,NormalOther.bmp,Tra.bmp,Normalself,normal,other,No,k,k,1,1039,,,,,
6201,1,21,right,male,,1,176,NormalSelf.bmp,S.bmp,Normalother,normal,self,No,k,k,1,715,,,,,
6201,1,21,right,male,,1,177,BadOther.bmp,D.bmp,Badself,immoral,other,No,k,k,1,840,,,,,
6201,1,21,right,male,,1,178,NormalSelf.bmp,Tra.bmp,Normalself,normal,self,Yes,m,m,1,627,,,,,
6201,1,21,right,male,,1,179,BadOther.bmp,C.bmp,Goodself,immoral,other,No,k,k,1,709,,,,,
6201,1,21,right,male,,1,180,GoodSelf.bmp,S.bmp,Normalother,moral,self,No,k,k,1,506,,,,,
6201,1,21,right,male,1,,1,BadSelf.bmp,D.bmp,Badself,bad,self,Yes,m,,,,,0,0,,
6201,1,21,right,male,1,,2,BadSelf.bmp,S.bmp,Normalother,bad,self,No,k,,,,,0,0,,
6201,1,21,right,male,1,,3,BadOther.bmp,Tra.bmp,Normalself,bad,other,No,k,,,,m,0,960,,
6201,1,21,right,male,1,,4,NormalSelf.bmp,T.bmp,Badother,normal,self,No,k,,,,,0,0,,
6201,1,21,right,male,1,,5,GoodOther.bmp,Tra.bmp,Normalself,good,other,No,k,,,,,0,0,,
6201,1,21,right,male,1,,6,NormalSelf.bmp,Tra.bmp,Normalself,normal,self,Yes,m,,,,,0,0,,
6201,1,21,right,male,1,,7,GoodOther.bmp,P.bmp,Goodother,good,other,Yes,m,,,,,0,0,,
6201,1,21,right,male,1,,8,NormalOther.bmp,D.bmp,Badself,normal,other,No,k,,,,,0,0,,
6201,1,21,right,male,1,,9,BadOther.bmp,T.bmp,Badother,bad,other,Yes,m,,,,,0,0,,
6201,1,21,right,male,1,,10,BadSelf.bmp,Tra.bmp,Normalself,bad,self,No,k,,,,,0,0,,
6201,1,21,right,male,1,,11,BadOther.bmp,T.bmp,Badother,bad,other,Yes,m,,,,,0,0,,
6201,1,21,right,male,1,,12,GoodOther.bmp,T.bmp,Badother,good,other,No,k,,,,,0,0,,
6201,1,21,right,male,1,,13,BadOther.bmp,T.bmp,Badother,bad,other,Yes,m,,,,m,1,19,,
6201,1,21,right,male,1,,14,BadSelf.bmp,T.bmp,Badother,bad,self,No,k,,,,,0,0,,
6201,1,21,right,male,1,,15,GoodSelf.bmp,P.bmp,Goodother,good,self,No,k,,,,,0,0,,
6201,1,21,right,male,1,,16,NormalSelf.bmp,D.bmp,Badself,normal,self,No,k,,,,,0,0,,
6201,1,21,right,male,1,,17,GoodOther.bmp,P.bmp,Goodother,good,other,Yes,m,,,,,0,0,,
6201,1,21,right,male,1,,18,GoodSelf.bmp,D.bmp,Badself,good,self,No,k,,,,,0,0,,
6201,1,21,right,male,1,,19,NormalOther.bmp,S.bmp,Normalother,normal,other,Yes,m,,,,,0,0,,
6201,1,21,right,male,1,,20,GoodSelf.bmp,C.bmp,Goodself,good,self,Yes,m,,,,,0,0,,
6201,1,21,right,male,1,,21,NormalOther.bmp,S.bmp,Normalother,normal,other,Yes,m,,,,k,0,588,,
6201,1,21,right,male,1,,22,GoodSelf.bmp,Tra.bmp,Normalself,good,self,No,k,,,,k,1,600,,
6201,1,21,right,male,1,,23,GoodSelf.bmp,C.bmp,Goodself,good,self,Yes,m,,,,m,1,516,,
6201,1,21,right,male,1,,24,NormalSelf.bmp,Tra.bmp,Normalself,normal,self,Yes,m,,,,m,1,656,,
6201,1,21,right,male,1,,25,NormalOther.bmp,S.bmp,Normalother,normal,other,Yes,m,,,,m,1,908,,
6201,1,21,right,male,1,,26,NormalSelf.bmp,Tra.bmp,Normalself,normal,self,Yes,m,,,,k,0,609,,
6201,1,21,right,male,1,,27,BadOther.bmp,T.bmp,Badother,bad,other,Yes,m,,,,m,1,773,,
6201,1,21,right,male,1,,28,BadSelf.bmp,D.bmp,Badself,bad,self,Yes,m,,,,k,0,401,,
6201,1,21,right,male,1,,29,GoodOther.bmp,P.bmp,Goodother,good,other,Yes,m,,,,,0,0,,
6201,1,21,right,male,1,,30,GoodOther.bmp,D.bmp,Badself,good,other,No,k,,,,,0,0,,
