"Num","ID","Study","Exp","Country","Language","N (M/F)","Stimulus","Trials","License","Exp_Implement"
58,"Orellana-Corrales_2021_APP","G Orellana-Corrales et al. (2021)","Exp2","Germany","German","33 (11/23)","letter string","128","No License","Lab Experiment"
59,"Orellana-Corrales_2023_QJEP","G Orellana-Corrales et al. (2023)","Exp1","Germany","German","71 (46/25)","geometric shape","140",NA,"Online Experiment"
60,"Orellana-Corrales_2023_QJEP","G Orellana-Corrales et al. (2023)","Exp1","Germany","German","65 (42/23)","geometric shape","140",NA,"Online Experiment"
61,"Pan_2025_unpub","Pan (2025)","Exp1","China","Chinese","40","geometric shape",NA,NA,NA
62,"Perrykkad_2022_BMCPsych","Perrykkad et al. (2022)","Exp1","United States","English","334","geometric shape","360","CC BY 4.0","Online Experiment"
63,"Qi_2025_SciData","Qi (2025)","Exp1","China","Chinese","134 (57/77)","geometric shape","360","CC BY 4.0","Lab Experiment"
64,"Qian_2020_QJEP","Qian et al. (2020)","Exp1","China","Chinese","24 (9/15)","geometric shape","576","No License","Lab Experiment"
65,"Qian_2020_QJEP","Qian et al. (2020)","Exp2","China","Chinese","25 (7/18)","geometric shape","200","No License","Lab Experiment"
66,"Schaefer_2019_JCogPsych","Schaefer & Frings (2019)","Exp1","Germany","German","32","geometric shape","144","CC-BY-SA 4.0","Lab Experiment"
67,"Schaefer_2019_JCogPsych","Schaefer & Frings (2019)","Exp2","Germany","German","36","geometric shape","144","CC-BY-SA 4.0","Lab Experiment"
68,"Schaefer_2019_JCogPsych","Schaefer & Frings (2019)","Exp3","Germany","German","35","geometric shape","144","CC-BY-SA 4.0","Lab Experiment"
69,"Smith_2024_Cortex","Smith & Ferguson (2024)","Exp1","UK","English","48 (11/5)","face","360","CC BY-NC-ND","Lab Experiment"
70,"Sui_2014_APP","Sui et al. (2014)","Exp1","China","Chinese","24","geometric shape","360",NA,"Lab Experiment"
71,"Sui_2014_APP","Sui et al. (2014)","Exp2","China","Chinese","18","geometric shape","360",NA,"Lab Experiment"
72,"Sui_2014_APP","Sui et al. (2014)","Exp3","China","Chinese","22","geometric shape","360",NA,"Lab Experiment"
73,"Sui_2014_APP","Sui et al. (2014)","Exp4","China","Chinese","20","geometric shape","360",NA,"Lab Experiment"
74,"Sui_2014_unpub","Sui (2014)","Exp1","China","Chinese","24","geometric shape","720",NA,NA
75,"Sui_2015_unpub","Sui (2015)","Exp1","China","Chinese","20","geometric shape","960",NA,NA
76,"Sui_2023_ConsciousCog","J Sui et al. (2023)","Exp1","UK","English","20 (12/8)","geometric shape","960","CC BY-NC-ND","Lab Experiment"
77,"Sun_2026_DataExp","Sun et al (2026)","Exp1","China","Chinese","—","geometric shape",NA,"No License",NA
78,"Svensson_2022_PsychRes","Svensson et al. (2022)","Exp1","United Kingdom","English","20 (6/14)","geometric shape","200",NA,"Lab Experiment"
79,"Svensson_2022_PsychRes","Svensson et al. (2022)","Exp2","United Kingdom","English","24 (8/16)","geometric shape","400",NA,"Lab Experiment"
80,"Svensson_2022_PsychRes","Svensson et al. (2022)","Exp3","United Kingdom","English","25 (7/18)","geometric shape","400",NA,"Lab Experiment"
81,"Svensson_2023_QJEP","Svensson et al. (2023)","Exp1","UK","English","65 (20/45)","geometric shape","120","No License","Online Experiment"
82,"Vicovaro_2022_JEPHPP","Vicovaro et al. (2022)","Exp1","Italy","Italian","30 (14/16)","random dots","480","CC BY 4.0","Mixed (Lab + Online)"
83,"Vicovaro_2022_JEPHPP","Vicovaro et al. (2022)","Exp2","Italy","Italian","52 (11/36)","random dots","240","CC BY 4.0","Mixed (Lab + Online)"
84,"Vicovaro_2022_JEPHPP","Vicovaro et al. (2022)","Exp2","Italy","Italian","52 (5/42)","random dots","240","CC BY 4.0","Mixed (Lab + Online)"
85,"Vicovaro_2024_PeerJ","Vicovaro et al. (2024)","Exp1","Italy","English","64 (26/38)","geometric shape","240",NA,"Lab Experiment"
86,"Vicovaro_2024_PeerJ","Vicovaro et al. (2024)","Exp2","Italy","English","64 (16/48)","geometric shape","240",NA,"Lab Experiment"
87,"Wang_2016_JEPHPP","Wang et al. (2016)","Exp1","China","English","21 (3/18)","geometric shape","648","CC BY 3.0",NA
88,"Wang_2016_JEPHPP","Wang et al. (2016)","Exp2","China","English","25 (10/15)","geometric shape","648","CC BY 3.0",NA
89,"Wozniak_2018_PLOS","Wozniak et al. (2018)","Exp1","Hungary","English","18 (9/9)","face","672","CC BY 4.0","Lab Experiment"
90,"Wozniak_2018_PLOS","Wozniak et al. (2018)","Exp2","Hungary","English","18 (9/9)","face","672","CC BY 4.0","Lab Experiment"
91,"Wozniak_2020_PLOS","Wozniak et al. (2020)","Exp1","Australia","English","24 (12/12)","face","270",NA,"Lab Experiment"
92,"Wozniak_2020_PLOS","Wozniak et al. (2020)","Exp2","Australia","English","24 (12/12)","face","270",NA,"Lab Experiment"
93,"Wozniak_2020_PLOS","Wozniak et al. (2020)","Exp3","Australia","English","24 (12/12)","face","270",NA,"Lab Experiment"
94,"Wozniak_2022_PsychRes","Wozniak et al. (2022)","Exp1","Hungary","English","18 (7/11)","geometric shape","720","CC BY 4.0","Lab Experiment"
95,"Wozniak_2022_PsychRes","Wozniak et al. (2022)","Exp2","Hungary","English","18 (6/12)","geometric shape","720","CC BY 4.0","Lab Experiment"
96,"Wozniak_2022_PsychRes","Wozniak et al. (2022)","Exp3","Hungary","English","18 (0/18)","geometric shape","720","CC BY 4.0","Lab Experiment"
97,"Xu_2022_CurrPsych","Xu et al. (2022)","Exp1","China","Chinese","55 (27/28)","geometric shape","360","On request","Lab Experiment"
98,"Xu_2022_CurrPsych","Xu et al. (2022)","Exp1","China","Chinese","50 (24/26)","geometric shape","360","On request","Lab Experiment"
99,"Zhang_2023_NeuroImage","Yongfa Zhang et al. (2023)","Exp1","China","Chinese","346 (172/174)","geometric shape","96","CC BY-NC-ND","Lab Experiment"
100,"Zhang_2024_PsychJ","Zhang et al. (2024)","Exp1","China","English","43","geometric shape","216",NA,"Lab Experiment"
101,"Zhang_2024_PsychJ","Zhang et al. (2024)","Exp2","China","English","36","geometric shape","120",NA,"Lab Experiment"
102,"Zhang_2026_JNeurosci","Zhang (2026)","Exp1","China","English","59 (27/32)","geometric shape","450 (5 blocks x 90; incomplete blocks in 17 subjects)",NA,"Lab Experiment"
103,"Zhang_2026_JNeurosci","Zhang (2026)","Exp1","China","English","32 (14/18)","geometric shape","450 (5 blocks x 90; incomplete blocks in 17 subjects)",NA,"Lab Experiment"
104,"Zhao_2026_PsychonBullRev","Zhao & Wang (2026)","Exp1","China",NA,"45 (12/33)","geometric shape","360",NA,"Lab Experiment"
105,"Zhao_2026_PsychonBullRev","Zhao & Wang (2026)","Exp2","China",NA,"47 (18/29)","geometric shape","360",NA,"Lab Experiment"
106,"Zhao_2026_PsychonBullRev","Zhao & Wang (2026)","Exp3","China",NA,"22 (12/10)","geometric shape","360",NA,"Lab Experiment"
107,"Zhao_2026_PsychonBullRev","Zhao & Wang (2026)","Exp3","China",NA,"22 (13/9)","geometric shape","360",NA,"Lab Experiment"
