"Subject","Block","Trial","Label","Task","Matching","Label_Origin_Identity","Label_English_Identity","Label_Standardized_Identity","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","Response","RT_ms","RT_sec","ACC"
"P24","1","102","You","self-matching","Nonmatching","NA","NA","NA","Stranger","Stranger","Stranger","m","860.26530014351","0.86026530014351","1"
"P24","1","103","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","None","NA","NA","0"
"P24","1","104","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","c","747.27030005306","0.74727030005306","1"
"P24","1","105","You","self-matching","Matching","NA","NA","NA","Self","Self","Self","c","617.822899948806","0.617822899948806","1"
"P24","1","106","Friend","self-matching","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger","m","1005.49199990928","1.00549199990928","1"
"P24","1","107","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","c","720.156599767506","0.720156599767506","1"
"P24","1","108","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","c","622.764599975199","0.622764599975199","1"
"P24","1","109","You","self-matching","Nonmatching","NA","NA","NA","Stranger","Stranger","Stranger","m","769.809399731457","0.769809399731457","1"
"P24","1","110","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","m","703.234899789095","0.703234899789095","1"
"P24","1","111","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","c","638.231799937785","0.638231799937785","1"
"P24","1","112","You","self-matching","Matching","NA","NA","NA","Self","Self","Self","c","768.879199866205","0.768879199866205","1"
"P24","1","113","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self","m","733.434800058603","0.733434800058603","1"
"P24","1","114","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close","c","1068.56610020623","1.06856610020623","0"
"P24","1","115","You","self-matching","Nonmatching","NA","NA","NA","Friend","Friend","Close","m","941.027299966663","0.941027299966663","1"
"P24","1","116","Friend","self-matching","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger","m","626.644100062549","0.626644100062549","1"
"P24","1","117","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","c","773.921799845994","0.773921799845994","1"
"P24","1","118","You","self-matching","Matching","NA","NA","NA","Self","Self","Self","c","659.222200047225","0.659222200047225","1"
"P24","1","119","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","c","677.157599944621","0.677157599944621","1"
"P24","1","120","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","c","934.448300395161","0.934448300395161","1"
"P24","2","1","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close","m","701.262500137091","0.701262500137091","1"
"P24","2","2","Friend","self-matching","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger","m","606.049000285566","0.606049000285566","1"
"P24","2","3","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","c","609.971700236201","0.609971700236201","1"
"P24","2","4","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","m","693.189499899745","0.693189499899745","1"
"P24","2","5","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","c","821.783300023526","0.821783300023526","1"
"P24","2","6","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self","m","624.995700083673","0.624995700083673","1"
"P24","2","7","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","c","628.268900327384","0.628268900327384","1"
"P24","2","8","You","self-matching","Matching","NA","NA","NA","Self","Self","Self","c","615.542099811137","0.615542099811137","1"
"P24","2","9","You","self-matching","Nonmatching","NA","NA","NA","Friend","Friend","Close","m","826.875099912286","0.826875099912286","1"
"P24","2","10","You","self-matching","Matching","NA","NA","NA","Self","Self","Self","c","678.091800305992","0.678091800305992","1"
"P24","2","11","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","c","743.479500059038","0.743479500059038","1"
"P24","2","12","You","self-matching","Nonmatching","NA","NA","NA","Stranger","Stranger","Stranger","m","629.909200128168","0.629909200128168","1"
"P24","2","13","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","c","729.15819985792","0.72915819985792","1"
"P24","2","14","You","self-matching","Nonmatching","NA","NA","NA","Friend","Friend","Close","m","1032.29080000892","1.03229080000892","1"
"P24","2","15","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close","m","858.510800171643","0.858510800171643","1"
"P24","2","16","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","c","708.518899977207","0.708518899977207","1"
"P24","2","17","Friend","self-matching","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger","m","820.425400044769","0.820425400044769","1"
"P24","2","18","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","m","831.446999683976","0.831446999683976","1"
"P24","2","19","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self","m","730.68069992587","0.73068069992587","1"
"P24","2","20","You","self-matching","Nonmatching","NA","NA","NA","Stranger","Stranger","Stranger","m","793.944000266492","0.793944000266492","1"
"P24","2","21","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","c","661.813700105995","0.661813700105995","1"
"P24","2","22","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","c","1015.73059987277","1.01573059987277","1"
"P24","2","23","You","self-matching","Matching","NA","NA","NA","Self","Self","Self","c","603.726499713957","0.603726499713957","1"
"P24","2","24","You","self-matching","Matching","NA","NA","NA","Self","Self","Self","c","446.702999994159","0.446702999994159","1"
"P24","2","25","You","self-matching","Nonmatching","NA","NA","NA","Stranger","Stranger","Stranger","m","617.565299849957","0.617565299849957","1"
"P24","2","26","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","c","572.559100110084","0.572559100110084","1"
"P24","2","27","Friend","self-matching","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger","m","610.259000211954","0.610259000211954","1"
"P24","2","28","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","c","662.202599924058","0.662202599924058","1"
"P24","2","29","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self","m","744.163200259209","0.744163200259209","1"
"P24","2","30","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close","m","614.155100192875","0.614155100192875","1"
"P24","2","31","You","self-matching","Matching","NA","NA","NA","Self","Self","Self","c","602.580000180751","0.602580000180751","1"
"P24","2","32","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","c","846.58640017733","0.84658640017733","1"
"P24","2","33","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","c","457.069699652493","0.457069699652493","1"
"P24","2","34","You","self-matching","Nonmatching","NA","NA","NA","Friend","Friend","Close","m","595.1371002011","0.5951371002011","1"
"P24","2","35","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","m","584.109700284898","0.584109700284898","1"
"P24","2","36","You","self-matching","Matching","NA","NA","NA","Self","Self","Self","c","829.155600164086","0.829155600164086","1"
"P24","2","37","You","self-matching","Matching","NA","NA","NA","Self","Self","Self","c","568.427999969572","0.568427999969572","1"
"P24","2","38","Friend","self-matching","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger","m","877.870600204915","0.877870600204915","1"
"P24","2","39","You","self-matching","Nonmatching","NA","NA","NA","Friend","Friend","Close","m","903.554399963468","0.903554399963468","1"
"P24","2","40","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","m","815.140199847519","0.815140199847519","1"
"P24","2","41","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self","m","666.37389967218","0.66637389967218","1"
"P24","2","42","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","c","620.297099929303","0.620297099929303","1"
"P24","2","43","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","c","959.638400003314","0.959638400003314","1"
"P24","2","44","You","self-matching","Matching","NA","NA","NA","Self","Self","Self","c","581.323700025678","0.581323700025678","1"
"P24","2","45","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close","m","922.629900276661","0.922629900276661","1"
"P24","2","46","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","c","1313.61020030454","1.31361020030454","1"
"P24","2","47","You","self-matching","Nonmatching","NA","NA","NA","Stranger","Stranger","Stranger","m","809.255800209939","0.809255800209939","1"
"P24","2","48","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","c","837.205700110644","0.837205700110644","1"
"P24","2","49","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close","m","799.717499874532","0.799717499874532","1"
"P24","2","50","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","c","988.006200175732","0.988006200175732","1"
"P24","2","51","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","m","800.351799931377","0.800351799931377","1"
"P24","2","52","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Self","Self","Self","m","876.186600420624","0.876186600420624","1"
"P24","2","53","Friend","self-matching","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger","m","1013.0722001195","1.0130722001195","1"
"P24","2","54","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","c","985.105200204998","0.985105200204998","1"
"P24","2","55","You","self-matching","Matching","NA","NA","NA","Self","Self","Self","c","606.190700083971","0.606190700083971","1"
"P24","2","56","You","self-matching","Nonmatching","NA","NA","NA","Friend","Friend","Close","m","674.046999774873","0.674046999774873","1"
"P24","2","57","Stranger","self-matching","Matching","Stranger","Stranger","Stranger","Stranger","Stranger","Stranger","c","739.256999921054","0.739256999921054","1"
"P24","2","58","You","self-matching","Nonmatching","NA","NA","NA","Stranger","Stranger","Stranger","m","689.84240014106","0.68984240014106","1"
"P24","2","59","You","self-matching","Matching","NA","NA","NA","Self","Self","Self","c","722.473500296474","0.722473500296474","1"
"P24","2","60","Friend","self-matching","Matching","Friend","Friend","Close","Friend","Friend","Close","c","673.781699966639","0.673781699966639","1"
"P24","2","61","You","self-matching","Matching","NA","NA","NA","Self","Self","Self","c","803.040899801999","0.803040899801999","1"
"P24","2","62","Friend","self-matching","Nonmatching","Friend","Friend","Close","Self","Self","Self","m","747.980399988592","0.747980399988592","1"
"P24","2","63","Friend","self-matching","Nonmatching","Friend","Friend","Close","Stranger","Stranger","Stranger","m","650.740999728441","0.650740999728441","1"
"P24","2","64","You","self-matching","Nonmatching","NA","NA","NA","Stranger","Stranger","Stranger","m","653.270000126213","0.653270000126213","1"
"P24","2","65","Stranger","self-matching","Nonmatching","Stranger","Stranger","Stranger","Friend","Friend","Close","m","767.178600188345","0.767178600188345","1"
