match,shape_identity,corr,rt,subj_idx,response,task
0,2,1,0.432049100054428,2,0,2
0,3,0,0.261797599960119,2,1,2
0,1,1,0.610795000102371,2,0,2
0,3,0,0.59701620019041,2,1,2
0,1,1,0.25137050030753,2,0,2
0,2,1,1.03261559992097,2,0,2
0,1,1,0.636287300148979,2,0,2
0,1,1,0.687533800024539,2,0,2
0,3,1,0.892123900121078,2,0,2
0,1,1,0.531796100083739,2,0,2
0,3,0,0.490248600021005,2,1,2
0,3,1,0.591878700302914,2,0,2
0,2,1,0.540136100025848,2,0,2
0,2,1,0.799303699983284,2,0,2
0,2,0,0.340331400046125,2,1,2
0,1,0,0.2441125002224,2,1,2
0,1,1,0.379317600047216,2,0,2
0,2,0,0.321839100215584,2,1,2
0,3,1,0.732768000103533,2,0,2
0,2,1,0.402876100037247,2,0,2
1,3,0,0.911695700138807,2,0,2
1,2,1,0.253414200153202,2,1,2
1,2,1,0.249208700144663,2,1,2
1,3,0,0.364971000002697,2,0,2
1,3,1,0.313204500125721,2,1,2
1,1,0,0.329991400009021,2,0,2
1,1,0,0.217011700151488,2,0,2
1,2,0,0.296180700184777,2,0,2
1,2,0,0.220368900103495,2,0,2
1,1,0,0.215832600137219,2,0,2
1,3,1,0.30358330020681,2,1,2
1,1,1,0.20871530030854,2,1,2
1,1,1,0.571716300211847,2,1,2
1,2,0,0.456205400172621,2,0,2
1,2,1,0.254272900056094,2,1,2
1,1,1,0.317197900265455,2,1,2
1,1,0,0.271359000122175,2,0,2
1,2,1,0.465652500046417,2,1,2
1,3,0,0.608572399942204,2,0,2
1,2,0,0.636738199973479,2,0,2
1,1,1,0.551413099979982,2,1,2
1,3,0,0.504435900133103,2,0,2
1,3,0,0.515442200005054,2,0,2
1,2,0,0.213995900237933,2,0,2
1,3,1,0.440162800019607,2,1,2
1,2,0,0.426488399971277,2,0,2
1,1,0,0.698683900292963,2,0,2
1,2,1,0.342196600046009,2,1,2
1,1,0,0.667985800188035,2,0,2
1,2,1,0.307222600094974,2,1,2
1,2,1,0.319941499968991,2,1,2
1,3,1,0.366880500223488,2,1,2
1,2,1,0.204134700121358,2,1,2
1,3,0,0.331164500210434,2,0,2
1,2,0,0.372599200112745,2,0,2
1,2,1,0.237297600135207,2,1,2
1,1,1,0.38656760007143,2,1,2
1,3,1,0.265171900158748,2,1,2
1,3,0,0.288654800271615,2,0,2
1,3,0,0.33977820025757,2,0,2
1,2,0,0.283568400191143,2,0,2
1,2,0,0.42620290024206,2,0,2
1,3,0,0.230199500219896,2,0,2
1,2,0,0.220584199996665,2,0,2
1,1,1,0.327506400179118,2,1,2
1,1,1,0.238087200094014,2,1,2
1,2,0,0.423229400068521,2,0,2
1,1,1,0.283740900224075,2,1,2
1,1,1,0.249803300015628,2,1,2
1,1,1,0.430597600294277,2,1,2
1,2,0,0.547530400101095,2,0,2
1,2,0,0.358959400095046,2,0,2
1,1,1,0.460281200008467,2,1,2
1,1,0,0.250715100206435,2,0,2
