"Subject","Trial","Shape","Label","Matching","ACC","RT_ms","bed","manipCheck","Resp","Cresp","Condition"
5,21,"Kreis.png","Fremder","Matching",1,801,"L2m",4,"d","d","Ass1"
5,22,"Dreieck.png","Ich","Matching",1,556,"L1m",1,"d","d","Ass1"
5,23,"Dreieck.png","Fremder","Nonmatching",1,1768,"L2n",3,"k","k","Ass1"
5,24,"Kreis.png","Ich","Nonmatching",1,1065,"L1n",2,"k","k","Ass1"
5,25,"Kreis.png","Ich","Nonmatching",1,2873,"L1n",2,"k","k","Ass1"
5,26,"Dreieck.png","Ich","Matching",1,798,"L1m",1,"d","d","Ass1"
5,27,"Kreis.png","Fremder","Matching",1,3582,"L2m",4,"d","d","Ass1"
5,28,"Dreieck.png","Fremder","Nonmatching",1,992,"L2n",3,"k","k","Ass1"
5,29,"Dreieck.png","Fremder","Nonmatching",0,353,"L2n",3,"d","k","Ass1"
5,30,"Kreis.png","Ich","Nonmatching",1,961,"L1n",2,"k","k","Ass1"
5,31,"Dreieck.png","Ich","Matching",1,666,"L1m",1,"d","d","Ass1"
5,32,"Kreis.png","Fremder","Matching",1,947,"L2m",4,"d","d","Ass1"
5,33,"Dreieck.png","Fremder","Nonmatching",1,812,"L2n",3,"k","k","Ass1"
5,34,"Kreis.png","Ich","Nonmatching",1,1339,"L1n",2,"k","k","Ass1"
5,35,"Kreis.png","Fremder","Matching",1,1999,"L2m",4,"d","d","Ass1"
5,36,"Dreieck.png","Ich","Matching",1,2927,"L1m",1,"d","d","Ass1"
5,37,"Kreis.png","Fremder","Matching",1,1990,"L2m",4,"d","d","Ass1"
5,38,"Dreieck.png","Fremder","Nonmatching",1,1009,"L2n",3,"k","k","Ass1"
5,39,"Kreis.png","Ich","Nonmatching",1,1265,"L1n",2,"k","k","Ass1"
5,40,"Dreieck.png","Ich","Matching",1,1088,"L1m",1,"d","d","Ass1"
5,41,"Kreis.png","Ich","Nonmatching",1,1483,"L1n",2,"k","k","Ass1"
5,42,"Kreis.png","Fremder","Matching",1,2407,"L2m",4,"d","d","Ass1"
5,43,"Dreieck.png","Fremder","Nonmatching",1,1097,"L2n",3,"k","k","Ass1"
5,44,"Dreieck.png","Ich","Matching",1,1258,"L1m",1,"d","d","Ass1"
5,45,"Kreis.png","Fremder","Matching",1,1197,"L2m",4,"d","d","Ass1"
5,46,"Dreieck.png","Fremder","Nonmatching",1,2945,"L2n",3,"k","k","Ass1"
5,47,"Dreieck.png","Ich","Matching",1,4831,"L1m",1,"d","d","Ass1"
5,48,"Kreis.png","Ich","Nonmatching",1,4562,"L1n",2,"k","k","Ass1"
5,49,"Dreieck.png","Fremder","Nonmatching",1,4160,"L2n",3,"k","k","Ass1"
5,50,"Kreis.png","Ich","Nonmatching",1,735,"L1n",2,"k","k","Ass1"
5,51,"Dreieck.png","Ich","Matching",1,720,"L1m",1,"d","d","Ass1"
5,52,"Kreis.png","Fremder","Matching",1,1582,"L2m",4,"d","d","Ass1"
5,53,"Kreis.png","Ich","Nonmatching",1,761,"L1n",2,"k","k","Ass1"
5,54,"Dreieck.png","Fremder","Nonmatching",1,880,"L2n",3,"k","k","Ass1"
5,55,"Kreis.png","Fremder","Matching",0,669,"L2m",4,"k","d","Ass1"
5,56,"Dreieck.png","Ich","Matching",1,1069,"L1m",1,"d","d","Ass1"
5,57,"Dreieck.png","Fremder","Nonmatching",1,1679,"L2n",3,"k","k","Ass1"
5,58,"Kreis.png","Fremder","Matching",1,1317,"L2m",4,"d","d","Ass1"
5,59,"Dreieck.png","Ich","Matching",1,1858,"L1m",1,"d","d","Ass1"
5,60,"Kreis.png","Ich","Nonmatching",1,1264,"L1n",2,"k","k","Ass1"
5,61,"Kreis.png","Ich","Nonmatching",1,2420,"L1n",2,"k","k","Ass1"
5,62,"Dreieck.png","Fremder","Nonmatching",1,4521,"L2n",3,"k","k","Ass1"
5,63,"Dreieck.png","Ich","Matching",1,619,"L1m",1,"d","d","Ass1"
