"Subject","Condition","Task","Matching","Shape_Origin_Identity","Shape_English_Identity","Shape_Standardized_Identity","extraIV1","RT_ms","RT_sec","ACC","Arouse","Valence"
"18","S3","self-matching","Nonmatching","Self","Self","Self","anxious","617","0.617","1","7","4"
"18","S3","self-matching","Nonmatching","Familiar","Familiar","Celebrity","anxious","483","0.483","1","7","4"
"18","S3","self-matching","Matching","Stranger","Stranger","Stranger","anxious","430","0.43","1","7","4"
"18","S3","self-matching","Nonmatching","Stranger","Stranger","Stranger","anxious","511","0.511","1","7","4"
"18","S3","self-matching","Matching","Self","Self","Self","anxious","479","0.479","1","7","4"
"18","S1","self-matching","Nonmatching","Familiar","Familiar","Celebrity","happy","471","0.471","1","6","5"
"18","S1","self-matching","Nonmatching","Familiar","Familiar","Celebrity","happy","393","0.393","1","6","5"
"18","S1","self-matching","Nonmatching","Familiar","Familiar","Celebrity","happy","422","0.422","1","6","5"
"18","S1","self-matching","Matching","Familiar","Familiar","Celebrity","happy","544","0.544","1","6","5"
"18","S1","self-matching","Matching","Familiar","Familiar","Celebrity","happy","900","0.9","1","6","5"
"18","S1","self-matching","Matching","Familiar","Familiar","Celebrity","happy","904","0.904","1","6","5"
"18","S1","self-matching","Nonmatching","Familiar","Familiar","Celebrity","happy","303","0.303","1","6","5"
"18","S1","self-matching","Nonmatching","Familiar","Familiar","Celebrity","happy","602","0.602","1","6","5"
"18","S1","self-matching","Nonmatching","Stranger","Stranger","Stranger","happy","332","0.332","1","6","5"
"18","S1","self-matching","Nonmatching","Familiar","Familiar","Celebrity","happy","342","0.342","1","6","5"
"18","S1","self-matching","Matching","Familiar","Familiar","Celebrity","happy","656","0.656","0","6","5"
"18","S1","self-matching","Matching","Familiar","Familiar","Celebrity","happy","690","0.69","1","6","5"
"18","S1","self-matching","Nonmatching","Familiar","Familiar","Celebrity","happy","434","0.434","1","6","5"
"18","S1","self-matching","Nonmatching","Familiar","Familiar","Celebrity","happy","406","0.406","1","6","5"
"18","S1","self-matching","Nonmatching","Familiar","Familiar","Celebrity","happy","296","0.296","1","6","5"
"18","S1","self-matching","Nonmatching","Familiar","Familiar","Celebrity","happy","337","0.337","1","6","5"
"18","S1","self-matching","Nonmatching","Familiar","Familiar","Celebrity","happy","340","0.34","1","6","5"
"18","S1","self-matching","Nonmatching","Familiar","Familiar","Celebrity","happy","471","0.471","1","6","5"
"18","S1","self-matching","Nonmatching","Familiar","Familiar","Celebrity","happy","470","0.47","1","6","5"
"18","S1","self-matching","Nonmatching","Familiar","Familiar","Celebrity","happy","390","0.39","1","6","5"
"18","S1","self-matching","Nonmatching","Familiar","Familiar","Celebrity","happy","364","0.364","1","6","5"
"18","S1","self-matching","Nonmatching","Familiar","Familiar","Celebrity","happy","331","0.331","1","6","5"
"18","S1","self-matching","Nonmatching","Familiar","Familiar","Celebrity","happy","308","0.308","1","6","5"
"18","S1","self-matching","Nonmatching","Familiar","Familiar","Celebrity","happy","405","0.405","1","6","5"
"18","S1","self-matching","Nonmatching","Familiar","Familiar","Celebrity","happy","413","0.413","1","6","5"
"18","S1","self-matching","Nonmatching","Self","Self","Self","happy","634","0.634","0","6","5"
"18","S1","self-matching","Matching","Self","Self","Self","happy","401","0.401","1","6","5"
"18","S1","self-matching","Matching","Stranger","Stranger","Stranger","happy","583","0.583","1","6","5"
"18","S1","self-matching","Matching","Familiar","Familiar","Celebrity","happy","675","0.675","1","6","5"
"18","S1","self-matching","Matching","Self","Self","Self","happy","945","0.945","1","6","5"
"18","S1","self-matching","Matching","Self","Self","Self","happy","524","0.524","1","6","5"
"18","S1","self-matching","Matching","Self","Self","Self","happy","389","0.389","1","6","5"
"18","S1","self-matching","Nonmatching","Self","Self","Self","happy","449","0.449","1","6","5"
"18","S1","self-matching","Nonmatching","Stranger","Stranger","Stranger","happy","613","0.613","1","6","5"
"18","S1","self-matching","Matching","Stranger","Stranger","Stranger","happy","355","0.355","0","6","5"
"18","S1","self-matching","Matching","Stranger","Stranger","Stranger","happy","571","0.571","1","6","5"
"18","S1","self-matching","Matching","Familiar","Familiar","Celebrity","happy","609","0.609","1","6","5"
"18","S1","self-matching","Nonmatching","Self","Self","Self","happy","522","0.522","1","6","5"
"18","S1","self-matching","Nonmatching","Stranger","Stranger","Stranger","happy","665","0.665","1","6","5"
"18","S1","self-matching","Matching","Stranger","Stranger","Stranger","happy","596","0.596","1","6","5"
"18","S1","self-matching","Matching","Familiar","Familiar","Celebrity","happy","576","0.576","1","6","5"
"18","S1","self-matching","Nonmatching","Familiar","Familiar","Celebrity","happy","547","0.547","1","6","5"
"18","S1","self-matching","Matching","Stranger","Stranger","Stranger","happy","582","0.582","1","6","5"
"18","S1","self-matching","Matching","Stranger","Stranger","Stranger","happy","568","0.568","1","6","5"
"18","S1","self-matching","Matching","Familiar","Familiar","Celebrity","happy","545","0.545","1","6","5"
"18","S1","self-matching","Matching","Familiar","Familiar","Celebrity","happy","592","0.592","1","6","5"
"18","S1","self-matching","Matching","Self","Self","Self","happy","421","0.421","1","6","5"
"18","S1","self-matching","Nonmatching","Self","Self","Self","happy","501","0.501","1","6","5"
"18","S1","self-matching","Nonmatching","Stranger","Stranger","Stranger","happy","661","0.661","1","6","5"
"18","S1","self-matching","Matching","Self","Self","Self","happy","566","0.566","0","6","5"
"18","S1","self-matching","Matching","Stranger","Stranger","Stranger","happy","530","0.53","1","6","5"
"18","S1","self-matching","Nonmatching","Self","Self","Self","happy","662","0.662","1","6","5"
"18","S1","self-matching","Nonmatching","Self","Self","Self","happy","569","0.569","1","6","5"
"18","S1","self-matching","Nonmatching","Stranger","Stranger","Stranger","happy","971","0.971","1","6","5"
"18","S1","self-matching","Matching","Self","Self","Self","happy","414","0.414","1","6","5"
"18","S1","self-matching","Nonmatching","Stranger","Stranger","Stranger","happy","763","0.763","1","6","5"
"18","S1","self-matching","Nonmatching","Stranger","Stranger","Stranger","happy","567","0.567","1","6","5"
"18","S1","self-matching","Matching","Familiar","Familiar","Celebrity","happy","475","0.475","1","6","5"
"18","S1","self-matching","Nonmatching","Stranger","Stranger","Stranger","happy","510","0.51","1","6","5"
"18","S1","self-matching","Nonmatching","Self","Self","Self","happy","555","0.555","1","6","5"
"18","S1","self-matching","Matching","Self","Self","Self","happy","455","0.455","1","6","5"
"18","S1","self-matching","Nonmatching","Self","Self","Self","happy","534","0.534","1","6","5"
"18","S1","self-matching","Matching","Familiar","Familiar","Celebrity","happy","542","0.542","1","6","5"
"18","S1","self-matching","Nonmatching","Stranger","Stranger","Stranger","happy","541","0.541","1","6","5"
"18","S1","self-matching","Nonmatching","Stranger","Stranger","Stranger","happy","487","0.487","1","6","5"
"18","S1","self-matching","Matching","Stranger","Stranger","Stranger","happy","398","0.398","1","6","5"
"18","S1","self-matching","Matching","Stranger","Stranger","Stranger","happy","562","0.562","1","6","5"
"18","S1","self-matching","Matching","Self","Self","Self","happy","341","0.341","1","6","5"
"18","S1","self-matching","Matching","Familiar","Familiar","Celebrity","happy","580","0.58","1","6","5"
"18","S1","self-matching","Nonmatching","Self","Self","Self","happy","679","0.679","1","6","5"
"18","S1","self-matching","Nonmatching","Stranger","Stranger","Stranger","happy","866","0.866","1","6","5"
"18","S1","self-matching","Nonmatching","Familiar","Familiar","Celebrity","happy","440","0.44","1","6","5"
"18","S1","self-matching","Nonmatching","Stranger","Stranger","Stranger","happy","477","0.477","1","6","5"
"18","S1","self-matching","Nonmatching","Stranger","Stranger","Stranger","happy","400","0.4","1","6","5"
"18","S1","self-matching","Matching","Self","Self","Self","happy","424","0.424","1","6","5"
"18","S1","self-matching","Matching","Stranger","Stranger","Stranger","happy","469","0.469","0","6","5"
"18","S1","self-matching","Nonmatching","Self","Self","Self","happy","518","0.518","1","6","5"
"18","S1","self-matching","Matching","Stranger","Stranger","Stranger","happy","636","0.636","1","6","5"
"18","S1","self-matching","Nonmatching","Self","Self","Self","happy","902","0.902","1","6","5"
"18","S1","self-matching","Matching","Familiar","Familiar","Celebrity","happy","453","0.453","1","6","5"
"18","S1","self-matching","Matching","Self","Self","Self","happy","509","0.509","1","6","5"
"18","S1","self-matching","Nonmatching","Self","Self","Self","happy","586","0.586","1","6","5"
"18","S1","self-matching","Matching","Self","Self","Self","happy","815","0.815","1","6","5"
"18","S1","self-matching","Matching","Familiar","Familiar","Celebrity","happy","564","0.564","1","6","5"
"18","S1","self-matching","Matching","Stranger","Stranger","Stranger","happy","411","0.411","0","6","5"
"18","S1","self-matching","Matching","Stranger","Stranger","Stranger","happy","744","0.744","0","6","5"
"18","S1","self-matching","Nonmatching","Self","Self","Self","happy","451","0.451","1","6","5"
"18","S1","self-matching","Nonmatching","Stranger","Stranger","Stranger","happy","497","0.497","1","6","5"
"18","S3","self-matching","Nonmatching","Stranger","Stranger","Stranger","anxious","616","0.616","1","7","4"
"18","S1","self-matching","Matching","Stranger","Stranger","Stranger","happy","329","0.329","0","6","5"
"18","S1","self-matching","Matching","Familiar","Familiar","Celebrity","happy","593","0.593","1","6","5"
"18","S1","self-matching","Nonmatching","Self","Self","Self","happy","468","0.468","1","6","5"
"18","S1","self-matching","Nonmatching","Self","Self","Self","happy","390","0.39","1","6","5"
"18","S1","self-matching","Matching","Stranger","Stranger","Stranger","happy","784","0.784","1","6","5"
"18","S1","self-matching","Matching","Stranger","Stranger","Stranger","happy","601","0.601","1","6","5"
"18","S1","self-matching","Matching","Familiar","Familiar","Celebrity","happy","697","0.697","1","6","5"
"18","S1","self-matching","Matching","Stranger","Stranger","Stranger","happy","624","0.624","1","6","5"
"18","S1","self-matching","Matching","Self","Self","Self","happy","424","0.424","1","6","5"
"18","S1","self-matching","Matching","Self","Self","Self","happy","447","0.447","1","6","5"
"18","S1","self-matching","Matching","Familiar","Familiar","Celebrity","happy","487","0.487","1","6","5"
"18","S1","self-matching","Nonmatching","Stranger","Stranger","Stranger","happy","542","0.542","1","6","5"
"18","S1","self-matching","Nonmatching","Self","Self","Self","happy","544","0.544","1","6","5"
"18","S1","self-matching","Nonmatching","Familiar","Familiar","Celebrity","happy","461","0.461","1","6","5"
"18","S1","self-matching","Matching","Familiar","Familiar","Celebrity","happy","546","0.546","1","6","5"
"18","S1","self-matching","Matching","Stranger","Stranger","Stranger","happy","566","0.566","1","6","5"
"18","S1","self-matching","Matching","Stranger","Stranger","Stranger","happy","496","0.496","1","6","5"
"18","S1","self-matching","Matching","Self","Self","Self","happy","491","0.491","1","6","5"
"18","S1","self-matching","Matching","Self","Self","Self","happy","421","0.421","1","6","5"
"18","S1","self-matching","Nonmatching","Self","Self","Self","happy","461","0.461","1","6","5"
"18","S1","self-matching","Nonmatching","Stranger","Stranger","Stranger","happy","549","0.549","1","6","5"
"18","S1","self-matching","Nonmatching","Stranger","Stranger","Stranger","happy","887","0.887","1","6","5"
"18","S1","self-matching","Nonmatching","Stranger","Stranger","Stranger","happy","520","0.52","1","6","5"
"18","S1","self-matching","Nonmatching","Stranger","Stranger","Stranger","happy","595","0.595","1","6","5"
"18","S1","self-matching","Matching","Familiar","Familiar","Celebrity","happy","566","0.566","1","6","5"
"18","S1","self-matching","Matching","Self","Self","Self","happy","518","0.518","1","6","5"
"18","S1","self-matching","Nonmatching","Stranger","Stranger","Stranger","happy","525","0.525","1","6","5"
"18","S1","self-matching","Matching","Self","Self","Self","happy","477","0.477","1","6","5"
"18","S1","self-matching","Nonmatching","Self","Self","Self","happy","850","0.85","1","6","5"
"18","S1","self-matching","Nonmatching","Self","Self","Self","happy","544","0.544","1","6","5"
"18","S1","self-matching","Nonmatching","Self","Self","Self","happy","516","0.516","1","6","5"
"18","S1","self-matching","Matching","Stranger","Stranger","Stranger","happy","676","0.676","1","6","5"
"18","S1","self-matching","Matching","Familiar","Familiar","Celebrity","happy","827","0.827","1","6","5"
"18","S1","self-matching","Nonmatching","Self","Self","Self","happy","876","0.876","1","6","5"
"18","S1","self-matching","Matching","Stranger","Stranger","Stranger","happy","597","0.597","1","6","5"
"18","S1","self-matching","Matching","Self","Self","Self","happy","455","0.455","1","6","5"
"18","S1","self-matching","Nonmatching","Familiar","Familiar","Celebrity","happy","511","0.511","1","6","5"
"18","S1","self-matching","Matching","Familiar","Familiar","Celebrity","happy","560","0.56","1","6","5"
"18","S1","self-matching","Matching","Familiar","Familiar","Celebrity","happy","483","0.483","0","6","5"
"18","S1","self-matching","Nonmatching","Self","Self","Self","happy","508","0.508","1","6","5"
"18","S1","self-matching","Nonmatching","Self","Self","Self","happy","540","0.54","1","6","5"
"18","S1","self-matching","Matching","Self","Self","Self","happy","457","0.457","1","6","5"
"18","S1","self-matching","Matching","Self","Self","Self","happy","454","0.454","1","6","5"
"18","S1","self-matching","Matching","Self","Self","Self","happy","417","0.417","1","6","5"
"18","S1","self-matching","Nonmatching","Stranger","Stranger","Stranger","happy","756","0.756","1","6","5"
"18","S1","self-matching","Matching","Stranger","Stranger","Stranger","happy","435","0.435","1","6","5"
"18","S1","self-matching","Nonmatching","Self","Self","Self","happy","504","0.504","1","6","5"
"18","S1","self-matching","Nonmatching","Familiar","Familiar","Celebrity","happy","383","0.383","1","6","5"
"18","S1","self-matching","Matching","Familiar","Familiar","Celebrity","happy","663","0.663","1","6","5"
"18","S1","self-matching","Matching","Self","Self","Self","happy","503","0.503","1","6","5"
"18","S1","self-matching","Nonmatching","Stranger","Stranger","Stranger","happy","664","0.664","1","6","5"
"18","S1","self-matching","Matching","Stranger","Stranger","Stranger","happy","520","0.52","1","6","5"
"18","S1","self-matching","Matching","Self","Self","Self","happy","534","0.534","1","6","5"
"18","S1","self-matching","Matching","Stranger","Stranger","Stranger","happy","636","0.636","1","6","5"
"18","S1","self-matching","Nonmatching","Stranger","Stranger","Stranger","happy","544","0.544","1","6","5"
"18","S1","self-matching","Nonmatching","Stranger","Stranger","Stranger","happy","582","0.582","1","6","5"
"18","S2","self-matching","Matching","Familiar","Familiar","Celebrity","depression","829","0.829","1","4","3"
"18","S2","self-matching","Matching","Self","Self","Self","depression","461","0.461","1","4","3"
"18","S2","self-matching","Matching","Self","Self","Self","depression","533","0.533","0","4","3"
"18","S2","self-matching","Nonmatching","Stranger","Stranger","Stranger","depression","685","0.685","1","4","3"
"18","S2","self-matching","Nonmatching","Stranger","Stranger","Stranger","depression","905","0.905","0","4","3"
"18","S2","self-matching","Matching","Self","Self","Self","depression","904","0.904","1","4","3"
"18","S2","self-matching","Nonmatching","Self","Self","Self","depression","782","0.782","1","4","3"
"18","S2","self-matching","Nonmatching","Familiar","Familiar","Celebrity","depression","993","0.993","1","4","3"
"18","S2","self-matching","Matching","Self","Self","Self","depression","861","0.861","0","4","3"
"18","S2","self-matching","Nonmatching","Self","Self","Self","depression","529","0.529","1","4","3"
"18","S2","self-matching","Matching","Familiar","Familiar","Celebrity","depression","711","0.711","1","4","3"
"18","S2","self-matching","Nonmatching","Stranger","Stranger","Stranger","depression","544","0.544","1","4","3"
"18","S2","self-matching","Nonmatching","Stranger","Stranger","Stranger","depression","780","0.78","1","4","3"
"18","S2","self-matching","Nonmatching","Self","Self","Self","depression","602","0.602","0","4","3"
"18","S2","self-matching","Nonmatching","Familiar","Familiar","Celebrity","depression","803","0.803","1","4","3"
"18","S2","self-matching","Matching","Familiar","Familiar","Celebrity","depression","601","0.601","0","4","3"
"18","S2","self-matching","Matching","Self","Self","Self","depression","463","0.463","1","4","3"
"18","S2","self-matching","Matching","Stranger","Stranger","Stranger","depression","686","0.686","1","4","3"
"18","S2","self-matching","Matching","Stranger","Stranger","Stranger","depression","641","0.641","1","4","3"
"18","S2","self-matching","Matching","Self","Self","Self","depression","456","0.456","1","4","3"
"18","S2","self-matching","Nonmatching","Self","Self","Self","depression","703","0.703","1","4","3"
"18","S2","self-matching","Matching","Stranger","Stranger","Stranger","depression","630","0.63","0","4","3"
"18","S2","self-matching","Nonmatching","Stranger","Stranger","Stranger","depression","500","0.5","1","4","3"
"18","S2","self-matching","Matching","Familiar","Familiar","Celebrity","depression","488","0.488","1","4","3"
"18","S2","self-matching","Matching","Stranger","Stranger","Stranger","depression","665","0.665","1","4","3"
"18","S2","self-matching","Nonmatching","Stranger","Stranger","Stranger","depression","479","0.479","1","4","3"
"18","S2","self-matching","Matching","Stranger","Stranger","Stranger","depression","426","0.426","0","4","3"
"18","S2","self-matching","Nonmatching","Self","Self","Self","depression","545","0.545","1","4","3"
"18","S2","self-matching","Matching","Stranger","Stranger","Stranger","depression","588","0.588","1","4","3"
"18","S2","self-matching","Nonmatching","Stranger","Stranger","Stranger","depression","518","0.518","1","4","3"
"18","S2","self-matching","Nonmatching","Stranger","Stranger","Stranger","depression","534","0.534","1","4","3"
"18","S2","self-matching","Matching","Familiar","Familiar","Celebrity","depression","599","0.599","1","4","3"
"18","S2","self-matching","Matching","Self","Self","Self","depression","494","0.494","1","4","3"
"18","S2","self-matching","Nonmatching","Familiar","Familiar","Celebrity","depression","664","0.664","1","4","3"
"18","S2","self-matching","Nonmatching","Self","Self","Self","depression","588","0.588","1","4","3"
"18","S2","self-matching","Matching","Self","Self","Self","depression","563","0.563","0","4","3"
"18","S2","self-matching","Nonmatching","Self","Self","Self","depression","558","0.558","1","4","3"
"18","S2","self-matching","Nonmatching","Familiar","Familiar","Celebrity","depression","444","0.444","0","4","3"
"18","S2","self-matching","Matching","Stranger","Stranger","Stranger","depression","507","0.507","1","4","3"
"18","S2","self-matching","Matching","Stranger","Stranger","Stranger","depression","755","0.755","1","4","3"
"18","S2","self-matching","Nonmatching","Self","Self","Self","depression","787","0.787","0","4","3"
"18","S2","self-matching","Nonmatching","Self","Self","Self","depression","532","0.532","1","4","3"
"18","S2","self-matching","Nonmatching","Stranger","Stranger","Stranger","depression","839","0.839","1","4","3"
"18","S2","self-matching","Matching","Stranger","Stranger","Stranger","depression","611","0.611","1","4","3"
"18","S2","self-matching","Nonmatching","Self","Self","Self","depression","712","0.712","0","4","3"
"18","S2","self-matching","Nonmatching","Stranger","Stranger","Stranger","depression","709","0.709","1","4","3"
"18","S2","self-matching","Nonmatching","Self","Self","Self","depression","692","0.692","1","4","3"
"18","S2","self-matching","Nonmatching","Familiar","Familiar","Celebrity","depression","731","0.731","1","4","3"
"18","S2","self-matching","Matching","Self","Self","Self","depression","523","0.523","1","4","3"
"18","S2","self-matching","Nonmatching","Familiar","Familiar","Celebrity","depression","491","0.491","1","4","3"
"18","S2","self-matching","Matching","Familiar","Familiar","Celebrity","depression","524","0.524","1","4","3"
"18","S2","self-matching","Matching","Familiar","Familiar","Celebrity","depression","507","0.507","1","4","3"
"18","S2","self-matching","Nonmatching","Familiar","Familiar","Celebrity","depression","455","0.455","1","4","3"
"18","S2","self-matching","Matching","Familiar","Familiar","Celebrity","depression","547","0.547","1","4","3"
"18","S2","self-matching","Matching","Familiar","Familiar","Celebrity","depression","526","0.526","1","4","3"
"18","S2","self-matching","Nonmatching","Stranger","Stranger","Stranger","depression","446","0.446","1","4","3"
"18","S2","self-matching","Nonmatching","Familiar","Familiar","Celebrity","depression","663","0.663","1","4","3"
"18","S2","self-matching","Matching","Familiar","Familiar","Celebrity","depression","545","0.545","1","4","3"
"18","S2","self-matching","Matching","Stranger","Stranger","Stranger","depression","510","0.51","0","4","3"
"18","S2","self-matching","Nonmatching","Stranger","Stranger","Stranger","depression","575","0.575","1","4","3"
"18","S2","self-matching","Matching","Self","Self","Self","depression","489","0.489","1","4","3"
"18","S2","self-matching","Nonmatching","Familiar","Familiar","Celebrity","depression","652","0.652","1","4","3"
"18","S2","self-matching","Matching","Stranger","Stranger","Stranger","depression","655","0.655","1","4","3"
"18","S2","self-matching","Nonmatching","Familiar","Familiar","Celebrity","depression","698","0.698","1","4","3"
"18","S2","self-matching","Nonmatching","Familiar","Familiar","Celebrity","depression","630","0.63","0","4","3"
"18","S2","self-matching","Matching","Self","Self","Self","depression","855","0.855","1","4","3"
"18","S2","self-matching","Matching","Familiar","Familiar","Celebrity","depression","508","0.508","1","4","3"
"18","S2","self-matching","Nonmatching","Self","Self","Self","depression","744","0.744","0","4","3"
"18","S2","self-matching","Matching","Self","Self","Self","depression","419","0.419","1","4","3"
"18","S2","self-matching","Matching","Familiar","Familiar","Celebrity","depression","535","0.535","1","4","3"
"18","S2","self-matching","Matching","Stranger","Stranger","Stranger","depression","427","0.427","1","4","3"
"18","S2","self-matching","Nonmatching","Familiar","Familiar","Celebrity","depression","799","0.799","1","4","3"
"18","S2","self-matching","Matching","Self","Self","Self","depression","540","0.54","1","4","3"
"18","S2","self-matching","Matching","Familiar","Familiar","Celebrity","depression","392","0.392","1","4","3"
"18","S2","self-matching","Matching","Stranger","Stranger","Stranger","depression","430","0.43","1","4","3"
"18","S2","self-matching","Nonmatching","Self","Self","Self","depression","569","0.569","1","4","3"
"18","S2","self-matching","Matching","Stranger","Stranger","Stranger","depression","428","0.428","1","4","3"
"18","S2","self-matching","Matching","Familiar","Familiar","Celebrity","depression","437","0.437","1","4","3"
"18","S2","self-matching","Nonmatching","Stranger","Stranger","Stranger","depression","492","0.492","1","4","3"
"18","S2","self-matching","Matching","Familiar","Familiar","Celebrity","depression","889","0.889","0","4","3"
"18","S2","self-matching","Nonmatching","Stranger","Stranger","Stranger","depression","684","0.684","1","4","3"
"18","S2","self-matching","Matching","Familiar","Familiar","Celebrity","depression","736","0.736","1","4","3"
"18","S2","self-matching","Nonmatching","Familiar","Familiar","Celebrity","depression","593","0.593","1","4","3"
"18","S2","self-matching","Nonmatching","Self","Self","Self","depression","549","0.549","0","4","3"
"18","S2","self-matching","Matching","Self","Self","Self","depression","586","0.586","0","4","3"
"18","S2","self-matching","Matching","Stranger","Stranger","Stranger","depression","556","0.556","1","4","3"
"18","S2","self-matching","Nonmatching","Familiar","Familiar","Celebrity","depression","836","0.836","1","4","3"
"18","S2","self-matching","Matching","Stranger","Stranger","Stranger","depression","600","0.6","1","4","3"
"18","S2","self-matching","Nonmatching","Familiar","Familiar","Celebrity","depression","705","0.705","0","4","3"
"18","S2","self-matching","Nonmatching","Familiar","Familiar","Celebrity","depression","809","0.809","1","4","3"
"18","S2","self-matching","Nonmatching","Self","Self","Self","depression","900","0.9","1","4","3"
"18","S2","self-matching","Nonmatching","Self","Self","Self","depression","448","0.448","0","4","3"
"18","S2","self-matching","Nonmatching","Stranger","Stranger","Stranger","depression","519","0.519","1","4","3"
"18","S2","self-matching","Matching","Self","Self","Self","depression","736","0.736","1","4","3"
"18","S2","self-matching","Nonmatching","Stranger","Stranger","Stranger","depression","531","0.531","1","4","3"
"18","S2","self-matching","Matching","Familiar","Familiar","Celebrity","depression","449","0.449","1","4","3"
"18","S2","self-matching","Matching","Familiar","Familiar","Celebrity","depression","560","0.56","1","4","3"
"18","S2","self-matching","Nonmatching","Familiar","Familiar","Celebrity","depression","462","0.462","1","4","3"
"18","S2","self-matching","Matching","Self","Self","Self","depression","408","0.408","1","4","3"
"18","S2","self-matching","Matching","Familiar","Familiar","Celebrity","depression","434","0.434","1","4","3"
"18","S2","self-matching","Matching","Self","Self","Self","depression","507","0.507","0","4","3"
"18","S2","self-matching","Nonmatching","Familiar","Familiar","Celebrity","depression","605","0.605","1","4","3"
"18","S2","self-matching","Nonmatching","Stranger","Stranger","Stranger","depression","570","0.57","1","4","3"
"18","S2","self-matching","Nonmatching","Self","Self","Self","depression","575","0.575","1","4","3"
"18","S2","self-matching","Matching","Stranger","Stranger","Stranger","depression","600","0.6","1","4","3"
"18","S2","self-matching","Nonmatching","Stranger","Stranger","Stranger","depression","554","0.554","1","4","3"
"18","S2","self-matching","Matching","Stranger","Stranger","Stranger","depression","599","0.599","1","4","3"
"18","S2","self-matching","Nonmatching","Stranger","Stranger","Stranger","depression","479","0.479","1","4","3"
"18","S2","self-matching","Matching","Self","Self","Self","depression","437","0.437","1","4","3"
"18","S2","self-matching","Nonmatching","Familiar","Familiar","Celebrity","depression","447","0.447","1","4","3"
"18","S2","self-matching","Nonmatching","Self","Self","Self","depression","584","0.584","1","4","3"
"18","S2","self-matching","Nonmatching","Self","Self","Self","depression","668","0.668","1","4","3"
"18","S2","self-matching","Nonmatching","Stranger","Stranger","Stranger","depression","593","0.593","1","4","3"
"18","S2","self-matching","Nonmatching","Self","Self","Self","depression","530","0.53","1","4","3"
"18","S2","self-matching","Nonmatching","Stranger","Stranger","Stranger","depression","482","0.482","1","4","3"
"18","S2","self-matching","Matching","Self","Self","Self","depression","735","0.735","1","4","3"
"18","S2","self-matching","Matching","Self","Self","Self","depression","567","0.567","1","4","3"
"18","S2","self-matching","Matching","Self","Self","Self","depression","492","0.492","1","4","3"
"18","S2","self-matching","Nonmatching","Self","Self","Self","depression","463","0.463","1","4","3"
"18","S2","self-matching","Nonmatching","Stranger","Stranger","Stranger","depression","760","0.76","0","4","3"
"18","S2","self-matching","Nonmatching","Stranger","Stranger","Stranger","depression","539","0.539","1","4","3"
"18","S2","self-matching","Nonmatching","Familiar","Familiar","Celebrity","depression","956","0.956","1","4","3"
"18","S2","self-matching","Matching","Familiar","Familiar","Celebrity","depression","420","0.42","1","4","3"
"18","S2","self-matching","Nonmatching","Self","Self","Self","depression","466","0.466","1","4","3"
"18","S2","self-matching","Nonmatching","Familiar","Familiar","Celebrity","depression","491","0.491","0","4","3"
"18","S2","self-matching","Matching","Familiar","Familiar","Celebrity","depression","426","0.426","1","4","3"
"18","S2","self-matching","Matching","Stranger","Stranger","Stranger","depression","457","0.457","0","4","3"
"18","S2","self-matching","Matching","Familiar","Familiar","Celebrity","depression","682","0.682","1","4","3"
"18","S2","self-matching","Matching","Stranger","Stranger","Stranger","depression","509","0.509","1","4","3"
"18","S2","self-matching","Matching","Self","Self","Self","depression","552","0.552","1","4","3"
"18","S2","self-matching","Nonmatching","Familiar","Familiar","Celebrity","depression","659","0.659","1","4","3"
"18","S2","self-matching","Matching","Familiar","Familiar","Celebrity","depression","511","0.511","1","4","3"
"18","S2","self-matching","Nonmatching","Stranger","Stranger","Stranger","depression","555","0.555","1","4","3"
"18","S2","self-matching","Matching","Self","Self","Self","depression","694","0.694","1","4","3"
"18","S2","self-matching","Matching","Stranger","Stranger","Stranger","depression","521","0.521","1","4","3"
"18","S2","self-matching","Matching","Familiar","Familiar","Celebrity","depression","694","0.694","1","4","3"
"18","S2","self-matching","Matching","Stranger","Stranger","Stranger","depression","583","0.583","0","4","3"
"18","S2","self-matching","Matching","Stranger","Stranger","Stranger","depression","473","0.473","1","4","3"
"18","S2","self-matching","Nonmatching","Self","Self","Self","depression","582","0.582","1","4","3"
"18","S2","self-matching","Nonmatching","Familiar","Familiar","Celebrity","depression","539","0.539","0","4","3"
"18","S2","self-matching","Nonmatching","Familiar","Familiar","Celebrity","depression","645","0.645","1","4","3"
"18","S2","self-matching","Matching","Stranger","Stranger","Stranger","depression","533","0.533","1","4","3"
"18","S2","self-matching","Matching","Self","Self","Self","depression","583","0.583","1","4","3"
"18","S4","self-matching","Nonmatching","Self","Self","Self","serenity","670","0.67","0","4","6"
"18","S4","self-matching","Matching","Familiar","Familiar","Celebrity","serenity","437","0.437","1","4","6"
"18","S4","self-matching","Matching","Stranger","Stranger","Stranger","serenity","510","0.51","1","4","6"
"18","S4","self-matching","Nonmatching","Stranger","Stranger","Stranger","serenity","419","0.419","0","4","6"
"18","S4","self-matching","Nonmatching","Stranger","Stranger","Stranger","serenity","566","0.566","1","4","6"
"18","S4","self-matching","Nonmatching","Self","Self","Self","serenity","703","0.703","1","4","6"
"18","S4","self-matching","Matching","Familiar","Familiar","Celebrity","serenity","577","0.577","1","4","6"
"18","S4","self-matching","Nonmatching","Self","Self","Self","serenity","502","0.502","1","4","6"
"18","S4","self-matching","Matching","Familiar","Familiar","Celebrity","serenity","595","0.595","1","4","6"
"18","S4","self-matching","Nonmatching","Familiar","Familiar","Celebrity","serenity","575","0.575","1","4","6"
